,0,1,2,3,4,5,6,7,8,9,10
0,0.0172066,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
1,0.0516198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0860331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.120446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.15486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.189273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.223686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.258099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.292512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.326926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.361339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.395752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.430165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.464579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.498992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.533405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.567818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.602231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.636645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.671058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.705471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.739884,-0.053337,-0.0139321,-0.0429836,-0.0453651,-0.0769851,-0.0856363,-0.0271347,0.0167148,-0.0451063,-0.119027
22,0.774298,-0.0462089,-0.0505454,-0.0456927,-0.0496527,-0.049884,-0.0515067,-0.0504718,-0.0488447,-0.0464331,-0.054488
23,0.808711,-0.0486751,-0.0491949,-0.0404832,-0.0546705,-0.0442002,-0.0470458,-0.0490866,-0.0438355,-0.0547829,-0.0522506
24,0.843124,-0.0529921,-0.0562754,-0.0393989,-0.0552518,-0.0463541,-0.0440057,-0.0657883,-0.0390034,-0.0495306,-0.044182
25,0.877537,-0.0630167,-0.0735679,-0.0943441,-0.0483533,-0.0387368,-0.0519763,-0.00874143,-0.0267898,-0.133174,-0.113565
26,0.911951,0.308485,0.838241,-0.395368,0.192561,-0.371588,-1.09695,0.0,-0.478763,-0.45116,-0.540799
27,0.946364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.980777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.01519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.08402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.11843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.15284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.18726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.22167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.25608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.2905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.32491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1.35932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1.39374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.42815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1.46256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.49698,-0.113332,0.120364,0.241455,0.482984,0.0,1.21636,0.0,0.0,0.0,0.0
44,1.53139,-0.0590742,-0.0700752,-0.0540413,-0.0236894,-0.0327355,-0.0730099,-0.0644217,-0.0468038,-0.0831881,-0.0807769
45,1.5658,-0.0468812,-0.0478991,-0.0441659,-0.0529177,-0.0412646,-0.0505349,-0.0520438,-0.0401663,-0.0523632,-0.0525361
46,1.60022,-0.0456021,-0.0468804,-0.0407438,-0.0533003,-0.0463367,-0.048179,-0.0467159,-0.0411353,-0.0518584,-0.0563475
47,1.63463,-0.0363095,-0.0533599,-0.0377151,-0.0474317,-0.0392584,-0.0555678,-0.0555361,-0.0438915,-0.0521426,-0.0533485
48,1.66904,-0.03134,-0.0504806,-0.0538134,-0.0365361,-0.0278136,-0.0504111,-0.0539164,-0.0437454,-0.0542786,-0.0577834
49,1.70345,0.0772928,-0.0249123,0.104514,0.0879711,0.0520754,-0.142959,0.05219,0.0266345,-0.0449417,-0.114873
50,1.73787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1.77228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1.80669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1.84111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1.87552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1.90993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1.94435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1.97876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2.01317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2.04759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2.11641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2.15083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2.18524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2.21965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2.25407,0.0,0.0,1.5895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2.28848,-0.101526,0.0472985,-0.144977,0.0293924,0.0100459,-0.133451,0.0463333,-0.0576352,0.0627084,0.0241431
67,2.32289,-0.0527491,-0.0488861,-0.0479237,-0.0579787,-0.0426559,-0.0395075,-0.0388908,-0.0466867,-0.0426151,-0.0486628
68,2.35731,-0.0438095,-0.0538563,-0.0385226,-0.0521647,-0.0420617,-0.0513654,-0.0485191,-0.0311753,-0.0539686,-0.0564054
69,2.39172,-0.0436679,-0.0472197,-0.0348097,-0.052588,-0.0436308,-0.0457842,-0.0533171,-0.0406745,-0.0568564,-0.053218
70,2.42613,-0.0473303,-0.0477183,-0.0370597,-0.0553866,-0.0427246,-0.050364,-0.0526784,-0.0426963,-0.0451595,-0.0587964
71,2.46055,-0.0326313,-0.0583262,-0.0335645,-0.0651329,-0.0331108,-0.0441042,-0.0408069,-0.049793,-0.0541224,-0.0631831
72,2.49496,-0.0521558,-0.0769524,-0.0556856,-0.0664528,-0.00493896,0.00619398,-0.00218964,-0.025944,-0.0632043,-0.0888975
73,2.52937,-0.326909,0.0332671,-0.0705015,-0.216603,-0.218068,0.234899,0.224449,0.0534258,-0.0349266,0.110635
74,2.56379,-0.233629,0.00650697,-0.151155,0.0698109,-0.126518,-0.106567,-0.0329298,-0.0181275,-0.0750849,-0.147642
75,2.5982,0.0426631,-0.0959529,-0.15719,-0.229669,-0.176068,-0.162975,-0.0296423,-0.0606732,-0.139397,-0.0982203
76,2.63261,-0.137768,0.0439845,-0.0475346,-0.0493111,-0.0679896,0.121013,-0.184535,0.104172,-0.148872,-0.169247
77,2.66703,-0.0694365,0.0197925,-0.00843857,-0.102298,-0.0459157,0.0663679,-0.150635,-0.0228808,-0.00617024,-0.0908443
78,2.70144,0.00657676,-0.0329195,-0.0610072,-0.0600414,-0.0835502,-0.0598643,-0.0342851,-0.0415192,-0.0803726,-0.0577661
79,2.73585,-0.012751,-0.0979417,-0.0551751,-0.0575063,-0.0134319,-0.088024,-0.0859627,-0.0692037,-0.0540591,-0.00543559
80,2.77026,-0.0346789,-0.0231952,-0.0268597,-0.0618718,-0.0426948,-0.0794988,-0.024849,-0.0586751,-0.092932,-0.00345834
81,2.80468,-0.0336836,-0.0527516,-0.0272039,-0.054436,-0.0817612,-0.030153,0.000429045,-0.0741651,-0.0591187,-0.0515689
82,2.83909,-0.0278592,-0.0682044,-0.0304296,-0.0224658,-0.0467018,-0.0212213,-0.0763373,-0.0210154,-0.0417691,-0.0489191
83,2.8735,-0.0577934,-0.0185639,-0.0469756,-0.125219,-0.0498891,-0.0505472,-0.0699493,-0.0411044,-0.0791252,-0.0406496
84,2.90792,-0.0667641,-0.0440734,-0.0911999,0.00705695,-0.0714431,-0.0464432,-0.0877964,-0.0131191,-0.00744624,-0.0469452
85,2.94233,-0.0288972,-0.0466193,-0.0817715,-0.0562987,-0.0480853,-0.107287,-0.0448268,-0.02141,-0.0686524,-0.049909
86,2.97674,-0.0705479,-0.00139647,-0.0447838,-0.0492123,-0.0144493,-0.0269294,-0.0109573,-0.0762162,-0.0138936,-0.0609076
87,3.01116,-0.0808344,-0.13524,-0.0425958,0.0332749,-0.098769,-0.0757492,-0.0143636,-0.0936652,-0.0140847,-0.105915
88,3.04557,-0.0641067,-0.035515,-0.0625476,-0.120021,-0.0234368,-0.0930212,-0.143257,-0.0861379,-0.00238936,-0.0828882
89,3.07998,-0.040682,0.0209961,0.0204044,0.119815,-0.156238,-0.102145,0.09651,-0.0320835,-0.0212871,-0.0321661
90,3.1144,-0.0628588,-0.0618344,0.0683526,0.0564658,-0.0669229,-0.108531,-0.0173961,-0.0524963,0.0706436,-0.00845255
91,3.14881,-0.100187,-0.03537,0.101549,-0.127849,-0.0297705,0.0140239,-0.0686603,0.00105983,-0.0630153,-0.0432674
92,3.18322,-0.10053,-0.0526269,0.0125761,0.0849914,-0.050986,-0.028131,-0.0291007,-0.0340102,-0.0731377,-0.0357971
93,3.21764,-0.0144558,-0.0683806,-0.0767069,-0.101223,-0.110737,-0.0268543,-0.0528918,-0.0215353,-0.0448798,-0.0522278
