,0,1,2,3,4,5,6,7,8,9
0,0.0005,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
1,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0235,-0.245159,-0.324444,0.025983,-0.26478,-0.143046,-0.312729,-0.644944,-0.206235,-0.311432
24,0.0245,-0.251688,-0.24114,-0.252376,-0.25327,-0.251168,-0.249763,-0.25096,-0.259714,-0.251014
25,0.0255,-0.251515,-0.251062,-0.249948,-0.25105,-0.249384,-0.249508,-0.252009,-0.250905,-0.249462
26,0.0265,-0.250063,-0.248155,-0.251299,-0.248115,-0.24902,-0.249957,-0.249545,-0.250194,-0.249088
27,0.0275,-0.248903,-0.251365,-0.25117,-0.249854,-0.246222,-0.247737,-0.250543,-0.250613,-0.244581
28,0.0285,-0.250035,-0.25022,-0.249764,-0.251514,-0.250957,-0.25381,-0.252206,-0.250651,-0.250559
29,0.0295,-0.249244,-0.253136,-0.253169,-0.249167,-0.251366,-0.25257,-0.248442,-0.245824,-0.247338
30,0.0305,-0.26363,-0.237152,-0.252875,-0.247729,-0.256431,-0.252572,-0.249069,-0.253816,-0.249529
31,0.0315,-0.249681,-0.251533,-0.250337,-0.257163,-0.24414,-0.257615,-0.244955,-0.264097,-0.251279
