,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.0,6.4300024,0.0,6.4300024,-0.049435231,0.0,0.0,0.0,-1.2465374,1.0,0.29830313,1.0821911,1.0821763,-1.269458,-3.8745736e-05,2.4516568e-07,-6.1318788e-08,0.29830313,0.29830313,0.061314149,0.066666667,3.8737558,0.2,0.0030657075,65.237797,2.3811016,70.1,0.0,0.0,0.0,0.0,1.2631871e-16,11.320685
1,1000.0,6.8983519,1.3514422,5.5469097,-0.030900078,0.90105756,1.0304205,0.82059413,-1.2465374,1.0,0.040025312,0.76352034,0.81286038,-1.4563048,-0.00099620482,0.033840598,0.0074514315,-0.035088511,-0.018755533,0.061491974,0.066666667,3.2446497,0.2,0.0030745987,65.04914,2.4795013,70.1,-0.00024531292,-0.00046620908,-0.00020433328,0.00035714027,0.32609089,0.41179807
2,2000.0,5.9852326,1.3458717,4.6393609,-0.048260536,0.89734352,1.0036356,0.83125734,-1.2465374,1.0,0.2531647,0.83526189,0.87398162,-0.9497494,-0.0039023785,0.0095076464,-0.021124781,0.17707481,0.19591182,0.061529562,0.066666667,2.9008169,0.2,0.0030764781,65.009402,2.4948378,70.1,-0.00052724584,-0.00074707369,-0.0011104608,0.001924752,1.2823761,2.7797216
3,3000.0,5.3940267,1.3704383,4.0235885,-0.069701553,0.91372297,1.011684,0.85283153,-1.2465374,1.0,0.31903372,0.83911958,0.84059798,-0.72261641,-0.0013695532,0.021953295,0.018328411,0.24096902,0.26132171,0.061512063,0.066666667,2.64787,0.2,0.0030756031,65.027896,2.4768911,70.1,0.0096354018,-0.011935064,-0.00016902502,0.0033290392,1.7351933,-0.11277921
4,4000.0,4.9626318,1.3495286,3.6131032,-0.093141494,0.89978168,0.99312836,0.84176352,-1.2465374,1.0,0.35492185,0.81058958,0.82095434,-0.56677838,-0.0024800248,0.0081864341,-0.0048044116,0.27787027,0.29826835,0.061524659,0.066666667,2.4764789,0.2,0.003076233,65.014582,2.498669,70.1,-0.00058405009,-0.0067778629,0.00014699364,0.010097812,1.4642021,-1.2237141
5,5000.0,4.7110727,1.3456381,3.3654346,-0.11842403,0.89718772,0.99610549,0.83569719,-1.2465374,1.0,0.40025448,0.80971041,0.81439137,-0.42333835,-0.0026180079,0.036157506,0.019062395,0.32375818,0.34343115,0.061523287,0.066666667,2.3306886,0.2,0.0030761644,65.016032,2.5005744,70.1,-0.00040915387,-0.015763686,0.002104014,0.031157575,0.53901059,-0.27222018
6,6000.0,4.5109251,1.3196614,3.1912637,-0.13373968,0.87986812,0.99772785,0.80656988,-1.2465374,1.0,0.45663554,0.82140736,0.82916355,-0.28066429,-0.0009304598,0.047244125,0.0070050432,0.38280544,0.39971967,0.06153563,0.066666667,2.2407886,0.2,0.0030767815,65.002991,2.4855826,70.1,0.00056108287,-0.057742498,-0.0024154666,0.06550827,0.44271322,-4.8965919
7,7000.0,4.4704522,1.3374711,3.1329811,-0.13850312,0.89174249,1.0419611,0.79828015,-1.2465374,1.0,0.50314563,0.83969373,0.84096439,-0.17122123,-0.0072538561,0.043522859,5.1315912e-05,0.43007434,0.44370645,0.061527627,0.066666667,2.1576536,0.2,0.0030763814,65.011446,2.499121,70.1,-0.0014825943,-0.067778934,0.0013978414,0.059193465,-0.54933332,-0.92394977
8,8000.0,4.4243457,1.3148748,3.1094709,-0.14150775,0.8766767,1.0152686,0.79045753,-1.2465374,1.0,0.50682242,0.82432373,0.843878,-0.14773447,0.0031453238,0.02361347,0.0010511059,0.43446718,0.44890592,0.061553889,0.066666667,2.1068654,0.2,0.0030776944,64.983709,2.5069525,70.1,0.0024348883,-0.087173948,-0.0021576177,0.073531366,0.67125627,-2.9280629
9,9000.0,4.3653981,1.2821023,3.0832958,-0.14200008,0.85482607,0.97616861,0.77935299,-1.2465374,1.0,0.51892784,0.83103658,0.84220767,-0.11646072,0.0017528655,0.030098942,-0.015460925,0.44758906,0.46324183,0.061511172,0.066666667,2.0715399,0.2,0.0030755586,65.028837,2.4786141,70.1,0.0064097253,-0.077231069,-0.0032045473,0.10077185,-0.49041236,0.50436926
