,0,1,2,3
0,0.0,0.0,0.0,0.0
1,0.0701,0.0,0.0,0.0
2,0.1402,0.0,0.0,0.0
3,0.2103,0.0,0.0,0.0
4,0.2804,0.0,0.0,0.0
5,0.3505,0.0,0.0,0.0
6,0.4206,0.0,0.0,0.0
7,0.4907,0.0,0.0,0.0
8,0.5608,0.0,0.0,0.0
9,0.6309,0.0,0.0,0.0
10,0.701,0.0,0.0,0.0
11,0.7711,-0.0175871,-0.0157876,5.80922
12,0.8412,0.0121941,0.00279645,1.5412
13,0.9113,0.0,0.0,0.0
14,0.9814,0.0,0.0,0.0
15,1.0515,0.0,0.0,0.0
16,1.1216,0.0,0.0,0.0
17,1.1917,0.0,0.0,0.0
18,1.2618,0.0,0.0,0.0
19,1.3319,0.0,0.0,0.0
20,1.402,0.0,0.0,0.0
21,1.4721,0.0,0.0,0.0
22,1.5422,-0.00349712,-0.00124519,0.38776
23,1.6123,0.0111781,-0.0239255,8.60306
24,1.6824,-0.00416397,-0.0013047,0.0635577
25,1.7525,-5.6387e-06,3.10766e-07,2.83808e-05
26,1.8226,-5.6387e-06,3.10766e-07,2.83808e-05
27,1.8927,-5.6387e-06,3.10766e-07,2.83808e-05
28,1.9628,-5.6387e-06,3.10766e-07,2.83808e-05
29,2.0329,-5.6387e-06,3.10766e-07,2.83808e-05
30,2.103,-5.6387e-06,3.10766e-07,2.83808e-05
31,2.1731,-5.6387e-06,3.10766e-07,2.83808e-05
32,2.2432,-5.6387e-06,3.10766e-07,2.83808e-05
33,2.3133,0.00120121,0.00460095,0.0915865
34,2.3834,0.00704668,-0.0310711,12.442
35,2.4535,0.00667144,0.0132564,2.32241
36,2.5236,0.00072483,-0.00112371,0.992414
37,2.5937,0.000736017,-0.00262706,0.995105
38,2.6638,0.00307566,0.00167216,1.02358
39,2.7339,0.00123405,-0.00320054,1.09739
40,2.804,0.00654449,-0.00644469,1.20471
41,2.8741,-0.000363757,0.00205866,1.27743
42,2.9442,0.000190108,0.00100545,1.27871
43,3.0143,0.0026252,-0.000414309,1.24105
44,3.0844,0.00301421,0.000327905,1.20704
45,3.1545,0.0013949,0.00164592,1.19499
46,3.2246,0.00160548,0.000228061,1.19509
47,3.2947,0.00336334,-0.00315209,1.18035
48,3.3648,0.000964507,-0.00242462,1.1353
49,3.4349,-0.0013229,0.00272788,1.06495
50,3.505,-0.00465589,0.0037319,1.01091
51,3.5751,0.00290089,-0.00279704,0.997902
52,3.6452,0.00104673,0.00394737,1.02011
53,3.7153,0.00351789,-0.00195318,1.04664
54,3.7854,0.0101462,0.000243952,1.08169
55,3.8555,-0.00576263,-0.00714104,1.09624
56,3.9256,-0.00223943,-0.00546607,1.09903
57,3.9957,-0.00699374,-0.00471751,1.09339
58,4.0658,-0.00226212,-0.00120006,1.08821
59,4.1359,-0.00450745,-0.000774847,1.09457
60,4.206,-0.0039389,0.00129508,1.09967
61,4.2761,-4.09258e-05,-0.00347702,1.10194
62,4.3462,-0.00276379,-0.00018543,1.09813
63,4.4163,-0.00478847,-0.000262646,1.09789
64,4.4864,-0.0029492,-0.00219977,1.09423
65,4.5565,-0.00346427,-0.000816644,1.09002
66,4.6266,-0.0013467,-0.00193443,1.08603
67,4.6967,0.000247006,-0.00189273,1.10254
68,4.7668,-0.00861235,-0.00426145,1.10533
69,4.8369,-0.000737457,-0.000166822,1.11977
70,4.907,-0.00267689,-0.00668152,1.10229
71,4.9771,-0.00581243,-0.00225999,1.10799
72,5.0472,-0.0125009,-0.000246156,1.10601
73,5.1173,-0.00604134,-0.00542442,1.10722
74,5.1874,-0.00810299,-0.00346423,1.11594
75,5.2575,-0.0105705,0.000655162,1.11962
76,5.3276,-0.00257381,-0.00394456,1.11176
77,5.3977,-0.0128451,0.00469651,1.11884
78,5.4678,-0.00760264,-0.00522238,1.11337
79,5.5379,-0.0143291,0.000550469,1.12016
80,5.608,-0.0174623,-0.00599831,1.11923
81,5.6781,-0.0143321,0.000991053,1.13875
82,5.7482,-0.0099646,-0.00327942,1.13031
83,5.8183,-0.00679302,-0.00497768,1.13697
84,5.8884,-0.012351,0.00183504,1.14066
85,5.9585,-0.0115764,0.000341364,1.14221
86,6.0286,0.00180742,-0.00344479,1.13113
87,6.0987,-0.00427311,-0.00304804,1.14424
88,6.1688,-0.00431897,-0.000443343,1.1374
89,6.2389,-0.00447521,-0.0053883,1.13677
90,6.309,-0.00323762,-0.00246018,1.1412
91,6.3791,-0.00942369,-0.00557801,1.13766
92,6.4492,-0.00251259,0.00601311,1.14116
93,6.5193,-0.00567015,0.00247643,1.13862
94,6.5894,-0.0112358,-0.00196751,1.14042
95,6.6595,-0.0040086,0.00119419,1.14842
96,6.7296,-0.0114138,0.00853506,1.14357
97,6.7997,-0.00628127,-0.00124585,1.13754
98,6.8698,-0.00306864,0.00819849,1.13876
99,6.9399,-0.00812571,0.00571552,1.13733
100,7.01,-0.00733748,0.0057629,1.14565
101,7.0801,-0.00341586,-8.8378e-06,1.13119
102,7.1502,-0.00470094,0.00627006,1.13966
103,7.2203,-0.00210139,0.00486164,1.13976
104,7.2904,0.0036111,0.00569757,1.1263
105,7.3605,0.00251443,0.00347026,1.13542
106,7.4306,-0.00302494,0.0106433,1.12853
107,7.5007,0.00360494,0.00768142,1.12502
108,7.5708,0.00454821,0.00644328,1.13117
109,7.6409,0.00571751,0.00620158,1.1278
110,7.711,0.000168361,0.0102571,1.12074
111,7.7811,0.00516011,0.0120885,1.12559
112,7.8512,0.00125642,0.00725233,1.11758
113,7.9213,0.00437698,0.0143859,1.11209
114,7.9914,0.00311733,0.0110762,1.11916
115,8.0615,0.00765988,0.0160904,1.10394
116,8.1316,0.00217298,0.0140178,1.1101
117,8.2017,0.00381571,0.00881174,1.10071
118,8.2718,0.00327476,0.0135576,1.10561
119,8.3419,0.00353444,0.0165017,1.10376
120,8.412,0.00720835,0.0178658,1.08747
121,8.4821,0.00153612,0.0211843,1.09634
122,8.5522,0.00115442,0.0176198,1.09364
123,8.6223,0.00384144,0.0139023,1.08152
124,8.6924,-0.000581272,0.020199,1.08142
125,8.7625,0.00041419,0.0154259,1.07599
126,8.8326,0.00231113,0.0190059,1.06305
127,8.9027,0.0044717,0.0182313,1.0606
128,8.9728,0.00210597,0.0223117,1.0643
129,9.0429,-0.00531182,0.0195223,1.04088
130,9.113,0.00297643,0.0186846,1.04854
131,9.1831,-0.00276902,0.0190756,1.03913
132,9.2532,0.00259059,0.0250288,1.03632
133,9.3233,0.00216746,0.0179468,1.02244
134,9.3934,0.000882809,0.0188964,1.01913
135,9.4635,-0.0103246,0.0145576,1.0124
136,9.5336,-0.000478534,0.0187403,1.0069
137,9.6037,-0.000970595,0.015498,1.00766
138,9.6738,0.00435697,0.0148603,0.997283
139,9.7439,0.00176158,0.00738248,0.995399
140,9.814,0.000853826,0.010564,0.985843
141,9.8841,0.00244917,0.0128705,0.978715
142,9.9542,0.00452312,0.0109223,0.972547
143,10.0243,-0.00214678,0.0110249,0.963761
