,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,700000.0,10.754171,1.2783007,9.4758706,-0.33570493,0.85238971,0.99213369,0.7596975,-3.5502959,3.0,5.5285078,7.9251864,7.9172523,0.74308485,0.014105655,-0.04392406,-0.042027194,5.3618403,5.3836421,0.69547563,2.0169154,-0.048853006,1.0636746,0.075,1.2233971,0.5,0.11818606,4.2306173,2.7859231,30.801768,0.016178667,-0.34550695,-0.002847966,0.32274116,-0.45500869,2.752284
1,701000.0,10.831528,1.3434918,9.4880361,-0.3363402,0.8958601,1.0138237,0.81768002,-3.5502959,3.0,5.572355,7.9085058,7.8349166,0.9736425,0.025522225,0.41289223,0.021943699,5.3929668,5.4243222,0.023734062,2.3730455,-0.067931738,1.0584444,0.075,1.2569012,0.5,0.11760493,4.2515223,2.8121024,30.801768,-0.018585215,-0.40459323,-0.036091382,0.42739859,-5.2504318,5.2998489
2,702000.0,10.880491,1.338339,9.5421523,-0.31277794,0.89242411,1.0114351,0.8135457,-3.5502959,3.0,5.7297449,8.067191,8.0262342,1.0958094,-0.025799289,-0.21586779,0.024391113,5.5512637,5.5820609,0.33909257,0.75270255,0.12566048,1.0344345,0.075,1.2594195,0.5,0.11493717,4.3502029,2.7948592,30.801768,-0.0059898867,-0.33130089,-0.027445999,0.37895045,2.1048387,2.3688213
3,703000.0,10.922907,1.388552,9.5343547,-0.33567036,0.92590688,1.0931356,0.81494925,-3.5502959,3.0,5.6303746,7.9111252,7.9510776,1.028921,0.035707261,-0.31913574,0.018077097,5.4515855,5.4707611,0.0,0.0,-0.065311798,1.0304681,0.075,1.2857715,0.5,0.11449645,4.3669476,2.7965838,30.801768,0.020873222,-0.34502894,-0.026871212,0.31577708,2.1592486,-0.80429004
4,704000.0,10.971252,1.3939072,9.5773445,-0.30334196,0.92947786,1.1067948,0.81180722,-3.5502959,3.0,5.6947001,7.9410436,8.0391503,1.1039064,0.011797589,-0.02110991,-0.1129415,5.5166004,5.5330922,1.5457279,1.0374012,-0.22609337,1.0146104,0.075,1.3350098,0.5,0.11273449,4.4351999,2.8078337,30.801768,0.021349731,-0.25739729,-0.0075590049,0.34907124,0.29923132,5.1817625
5,705000.0,11.028737,1.4276183,9.6011186,-0.31884081,0.95195691,1.1804483,0.80023508,-3.5502959,3.0,5.6476719,7.872666,7.9330465,1.1373033,-0.0058680517,-0.2814453,-0.041310537,5.4721109,5.4753095,-0.40350282,0.62191389,0.15552706,0.9944891,0.075,1.4337461,0.5,0.11049879,4.5249365,2.7721838,30.801768,0.012873741,-0.33104739,-0.0035911311,0.36265501,-2.463452,6.6355892
6,706000.0,11.065193,1.460213,9.6049795,-0.31140535,0.97369154,1.1901239,0.83000377,-3.5502959,3.0,5.7587386,7.977099,8.009394,1.2897227,-0.024691113,0.018238043,0.17921999,5.5766467,5.5849634,1.2845904,1.5195497,0.06109251,1.0200161,0.075,1.5370737,0.5,0.11333512,4.411695,2.8097766,30.801768,-0.011108101,-0.47576944,-0.0046184357,0.35760766,0.59841865,3.2831252
7,707000.0,11.105195,1.4613619,9.6438328,-0.29330477,0.97445761,1.2366898,0.80028771,-3.5502959,3.0,5.5634295,7.7947445,7.8811384,1.0144054,0.011739438,-0.1468301,0.025389147,5.3878569,5.382855,-0.22278476,2.1045975,-0.42060057,1.0016639,0.075,1.6494875,0.5,0.11129599,4.492525,2.8152253,30.801768,-0.019628334,-0.41663795,0.0082168731,0.39375199,-1.2071963,-0.5112293
8,708000.0,11.07978,1.4830757,9.596704,-0.30626591,0.98893668,1.2931387,0.78683879,-3.5502959,3.0,5.475191,7.764294,7.8532991,0.80797995,-0.00038577331,-0.20906056,0.061096413,5.302569,5.2863742,0.0,0.0,-0.047630442,1.0093273,0.075,1.7036712,0.5,0.11214747,4.4584152,2.8315859,30.801768,0.0042880054,-0.43269775,-0.0029050505,0.35498021,3.3692365,3.8312253
9,709000.0,11.141046,1.4856654,9.6553808,-0.29481163,0.99066353,1.2625973,0.81004266,-3.5502959,3.0,5.6392367,7.9102919,7.9002537,1.1071644,0.022927353,-0.11376032,-0.088284691,5.461524,5.4548793,-1.6350602,1.4501214,0.074803907,0.98592299,0.075,1.7416499,0.5,0.109547,4.564251,2.8003545,30.801768,0.041276027,-0.3634595,-0.011765378,0.40475666,-0.62642904,5.580055
10,710000.0,11.128118,1.4798558,9.6482623,-0.29847778,0.98678962,1.2610389,0.8046262,-3.5502959,3.0,5.7702188,7.9438682,8.0681902,1.298598,-0.0013101263,-0.060376488,0.10295231,5.5936945,5.586089,0.0,0.0,0.084063426,1.0025469,0.075,1.8187685,0.5,0.11139409,4.4885683,2.8406637,30.801768,-0.011839243,-0.38411841,-0.0093928838,0.42364513,2.8025612,5.2973296
11,711000.0,11.142675,1.473018,9.6696575,-0.27819594,0.98223008,1.283738,0.78192281,-3.5502959,3.0,5.5050411,7.785267,7.8522925,0.87756361,-0.015086828,-0.016432134,-0.006706247,5.3334975,5.3175969,0.0,0.0,0.16946761,0.99354047,0.075,1.8944673,0.5,0.11039339,4.5292569,2.7969977,30.801768,-0.018438946,-0.31777655,0.0041414233,0.38512941,-0.44458992,1.8596222
12,712000.0,11.154706,1.5136841,9.6410214,-0.29849815,1.0093468,1.2956671,0.81915789,-3.5502959,3.0,5.6263201,7.8895699,7.9444547,1.0449358,0.019431385,-0.083320484,-0.020165349,5.4466078,5.4371342,-0.1190056,0.98183746,-0.31903631,0.99973177,0.075,1.9050989,0.5,0.11108131,4.5012074,2.8005608,30.801768,0.052534307,-0.3491011,0.014463932,0.36384825,-0.81971787,4.606227
13,713000.0,11.124076,1.4916563,9.6324197,-0.29369477,0.99465835,1.3091653,0.78570408,-3.5502959,3.0,5.5775229,7.7802893,7.9039076,1.0483718,0.012874398,-0.36844834,0.028949846,5.4051498,5.386366,0.77257257,2.4176907,0.070679125,0.99855862,0.075,1.9497878,0.5,0.11095096,4.5064956,2.7848025,30.801768,0.014915585,-0.38043763,-0.029046238,0.4173676,4.7926011,7.1160288
14,714000.0,11.138612,1.4870061,9.6516059,-0.27718426,0.99155754,1.3022073,0.78516935,-3.5502959,3.0,5.5377266,7.8043659,7.9044166,0.90439724,-0.0083368574,-0.025240172,-0.057731782,5.3654709,5.3475857,-0.099257799,3.9434271,-0.069115508,1.0083438,0.075,1.9405087,0.5,0.11203819,4.4627638,2.8100468,30.801768,0.016050855,-0.34114138,-0.0035773949,0.32681711,1.7094745,3.081096
15,715000.0,11.160327,1.5138485,9.6464786,-0.29054606,1.0094564,1.287653,0.8246743,-3.5502959,3.0,5.4758572,7.7810984,7.8238768,0.82259643,-0.018055728,-0.16419031,-0.068906633,5.2949346,5.2878414,-0.64821211,0.79212547,-0.053886261,1.0024914,0.075,1.9838088,0.5,0.11138793,4.4888167,2.8097156,30.801768,0.028338162,-0.37072131,-0.014685997,0.38281072,1.2106841,1.1836129
16,716000.0,11.131806,1.5130866,9.6187191,-0.29494072,1.0089484,1.3300465,0.79561264,-3.5502959,3.0,5.4621524,7.6670916,7.877964,0.84140143,-0.010266519,-0.16521943,0.077821948,5.2876055,5.2679465,0.45949673,0.84287502,0.40689737,1.0160343,0.075,2.0066463,0.5,0.1128927,4.4289841,2.7986644,30.801768,0.021516324,-0.39510353,-0.020107309,0.45405049,1.4098696,2.5249013
17,717000.0,11.113024,1.4790299,9.6339945,-0.27876139,0.98623888,1.3012284,0.77696032,-3.5502959,3.0,5.6680091,7.8898003,7.9816509,1.1325762,-0.0096259847,-0.038363942,0.028358537,5.4975543,5.4780111,0.38646623,3.0348079,0.20095455,1.0121619,0.075,2.0053047,0.5,0.11246243,4.4459293,2.8235647,30.801768,0.0068121963,-0.35051442,-0.0013191482,0.376564,2.4138497,1.4720903
18,718000.0,11.179179,1.5220536,9.6571259,-0.29545952,1.0149277,1.3063241,0.82136232,-3.5502959,3.0,5.5534596,7.8383004,7.9789258,0.84315255,-0.0021751026,0.040514109,-0.031386969,5.3732636,5.3627175,-0.87827707,1.0332206,0.046775832,1.017606,0.075,1.993774,0.5,0.11306733,4.422144,2.8066778,30.801768,-0.023705962,-0.46910597,-0.006133617,0.35495365,0.26781253,7.3033486
19,719000.0,11.135297,1.5155196,9.6197778,-0.30331486,1.0105708,1.3203339,0.80477973,-3.5502959,3.0,5.5441666,7.7867102,7.9208192,0.9249703,-0.023829615,-0.10070173,-0.013233097,5.3676085,5.3513789,0.0,0.0,0.18180305,1.0119021,0.075,1.98117,0.5,0.11243357,4.4470706,2.815383,30.801768,0.011160729,-0.37680217,-0.0097399232,0.30545416,1.158169,3.3655125
20,720000.0,11.110018,1.5124416,9.5975761,-0.29438425,1.0085183,1.3160833,0.80418948,-3.5502959,3.0,5.5514718,7.8408689,7.8718638,0.94168273,0.025941877,0.067818672,0.053212145,5.3750433,5.3593048,0.87339087,0.760081,0.26796777,1.0326927,0.075,1.9889169,0.5,0.11474364,4.3575401,2.8269132,30.801768,0.009313689,-0.36025606,0.0012704246,0.36769243,-1.0756332,3.7223288
21,721000.0,11.068904,1.482976,9.5859282,-0.3033736,0.98887022,1.3191013,0.76944852,-3.5502959,3.0,5.5020912,7.7723938,7.8979613,0.8359185,-0.017114672,-0.049376978,0.043190871,5.3332844,5.3094835,0.062051414,0.30011269,0.079225304,1.0127891,0.075,2.0255213,0.5,0.11253212,4.4431759,2.7764003,30.801768,0.0093926011,-0.33572663,0.054315561,0.39198406,-0.99402916,0.076645038
