,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,0.0,2.4810967,0.0,2.4810967,-0.31366383,0.0,0.0,0.0,-1.2465374,1.0,0.9408948,1.0704958,1.0742364,0.67795221,4.3381883e-05,0.00018902566,-0.00012535936,0.9408948,1.0704958,1.0742364,0.67795221,4.3381883e-05,0.00018902566,-0.00012535936,0.9408948,0.9408948,0.061314149,0.066666667,2.2655528,1.0,0.015328537,65.237797,2.3811016,70.1,-5.2213675e-05,-0.073351262,-6.4718879e-05,0.0742013,-5.2213675e-05,-0.073351262,-6.4718879e-05,0.0742013
1,1000.0,4.5728251,1.3900345,3.1827906,-0.14314788,0.92678851,1.0078228,0.87644815,-1.2465374,1.0,0.35363233,0.73029261,0.74167891,-0.41107452,0.0011739543,-0.013437438,-0.0018413109,0.21591412,0.56938943,0.61648518,-0.53813226,0.001119353,-0.014983183,-0.0025253308,0.27340586,0.29614059,0.061517411,0.066666667,2.2248457,1.0,0.015379353,65.022242,2.484708,70.1,0.0032784807,-0.085905116,0.0043788213,0.071210189,0.0032784807,-0.085905116,0.0043788213,0.071210189
2,2000.0,4.5294618,1.3745417,3.15492,-0.14397034,0.91645889,0.9925049,0.86922544,-1.2465374,1.0,0.4615229,0.79497863,0.81621972,-0.22662965,0.0016078281,-0.014485904,-0.028914329,0.32533964,0.63980097,0.69242989,-0.35621194,0.00035937371,-0.0099522309,-0.02957867,0.38195757,0.40490497,0.061550296,0.066666667,2.1910975,1.0,0.015387574,64.987502,2.5047465,70.1,0.004168242,-0.064842701,0.0024242736,0.088914904,0.004168242,-0.064842701,0.0024242736,0.088914904
3,3000.0,4.5335422,1.345394,3.1881483,-0.15121965,0.89702497,1.0078878,0.82809024,-1.2465374,1.0,0.44546181,0.76616463,0.81057136,-0.24035054,0.00044280165,0.031476721,0.015702145,0.31216638,0.62339941,0.68482236,-0.37172265,0.0020189781,0.030066757,0.0160831,0.36966183,0.38796636,0.061554901,0.066666667,2.1605406,1.0,0.015388725,64.982641,2.4978894,70.1,-0.0087854665,-0.075255206,0.0054623508,0.09188401,-0.0087854665,-0.075255206,0.0054623508,0.09188401
4,4000.0,4.4820739,1.3412585,3.1408154,-0.15102379,0.89426769,0.9899779,0.83477561,-1.2465374,1.0,0.53081183,0.83072289,0.8586014,-0.096888802,-0.0090022135,0.0046138421,0.007719668,0.39792612,0.69075079,0.73337838,-0.23035083,-0.0064928184,0.0062999424,0.0080525472,0.45439989,0.47433805,0.061524227,0.066666667,2.1385449,1.0,0.015381057,65.015039,2.4957742,70.1,-0.0031561312,-0.067149476,-0.0058984179,0.070379756,-0.0031561312,-0.067149476,-0.0058984179,0.070379756
5,5000.0,4.4608254,1.3545567,3.1062686,-0.14889591,0.90313413,1.0209675,0.82985635,-1.2465374,1.0,0.51080064,0.81959861,0.83872003,-0.12591671,-0.0011000064,0.011922051,0.014591154,0.3765974,0.67412801,0.71681722,-0.26115303,6.2218171e-05,0.011802874,0.015853207,0.43483899,0.45255905,0.061525474,0.066666667,2.1110147,1.0,0.015381368,65.013722,2.486091,70.1,0.0034525939,-0.063317163,0.0057445644,0.087398327,0.0034525939,-0.063317163,0.0057445644,0.087398327
6,6000.0,4.4618355,1.342823,3.1190125,-0.14721072,0.89531081,1.0107944,0.82349604,-1.2465374,1.0,0.5789219,0.8898317,0.88086321,-0.033929197,-0.00026032391,0.036172566,-0.018592767,0.44588119,0.74702517,0.7521639,-0.16154552,0.00085261088,0.033411477,-0.018806046,0.50354245,0.52126064,0.061539623,0.066666667,2.100048,1.0,0.015384906,64.998773,2.500348,70.1,0.01070856,-0.089410358,0.0062592859,0.074619389,0.01070856,-0.089410358,0.0062592859,0.074619389
7,7000.0,4.4452618,1.3293931,3.1158687,-0.15551673,0.88635662,1.0209872,0.80260785,-1.2465374,1.0,0.58934836,0.8819854,0.88682431,-0.00076461219,0.003342718,-0.034825414,0.023187992,0.45763821,0.74800206,0.75817591,-0.13326332,0.0032389155,-0.034923976,0.023541309,0.51588093,0.53110565,0.061540536,0.066666667,2.066611,1.0,0.015385134,64.997809,2.5019002,70.1,0.0035958126,-0.064249557,-0.0053988492,0.083303326,0.0035958126,-0.064249557,-0.0053988492,0.083303326
8,8000.0,4.4235023,1.3293566,3.0941457,-0.14540022,0.88633227,0.99776072,0.81704314,-1.2465374,1.0,0.63615569,0.92452648,0.91792596,0.066014626,0.0051513978,-0.025748878,-0.0072647348,0.50444916,0.78513215,0.79063616,-0.062420837,0.0063216767,-0.025515239,-0.0076958497,0.56136691,0.57923794,0.061520449,0.066666667,2.0536587,1.0,0.015380112,65.019032,2.4803192,70.1,0.0023609419,-0.098117816,-0.0064010331,0.085121997,0.0023609419,-0.098117816,-0.0064010331,0.085121997
9,9000.0,4.3968717,1.2828667,3.114005,-0.15380688,0.85533572,0.99463034,0.76867494,-1.2465374,1.0,0.54455502,0.84801523,0.84980643,-0.064156599,-0.000832132,-0.026838449,0.0061353805,0.41745449,0.71722381,0.72772257,-0.19258292,-0.0022441838,-0.025685837,0.0082587132,0.47419367,0.48781584,0.061535641,0.066666667,2.0440107,1.0,0.01538391,65.00298,2.5084428,70.1,0.0018678783,-0.082775429,0.0044657415,0.10151323,0.0018678783,-0.082775429,0.0044657415,0.10151323
10,10000.0,4.370256,1.298607,3.071649,-0.15839099,0.86583034,1.0065688,0.77827158,-1.2465374,1.0,0.45948396,0.78133951,0.79759231,-0.20047993,-0.0010117097,0.027227309,-0.017069166,0.33082396,0.64734633,0.67205631,-0.32693076,-0.00046278129,0.030889486,-0.018466256,0.38824417,0.40206375,0.061538763,0.066666667,2.0472689,1.0,0.015384691,64.999681,2.4849935,70.1,-0.010674863,-0.087803909,0.0042859506,0.090461527,-0.010674863,-0.087803909,0.0042859506,0.090461527
11,11000.0,4.4118628,1.3137055,3.0981573,-0.14227235,0.87589709,1.0212858,0.78544199,-1.2465374,1.0,0.51120101,0.81802833,0.82893193,-0.11335724,0.0017400245,0.025414006,-0.047344981,0.38104512,0.68562739,0.69905444,-0.24154648,-0.00046809786,0.025387446,-0.050704995,0.43930487,0.45294126,0.061516969,0.066666667,2.027354,1.0,0.015379242,65.02271,2.4813396,70.1,-0.00040333778,-0.096078622,0.0040250358,0.099153865,-0.00040333778,-0.096078622,0.0040250358,0.099153865
12,12000.0,4.3569456,1.2849172,3.0720284,-0.14592557,0.85670284,1.0065692,0.76345393,-1.2465374,1.0,0.59109728,0.87894856,0.88352749,0.010815778,0.00034290706,0.025551324,0.019397104,0.4637936,0.74952053,0.75847412,-0.11661385,0.0034713618,0.024670703,0.020150482,0.52121384,0.53367704,0.061504169,0.066666667,2.0123922,1.0,0.015376042,65.036241,2.4801331,70.1,-0.0051655721,-0.096885136,-0.0042068256,0.09240757,-0.0051655721,-0.096885136,-0.0042068256,0.09240757
13,13000.0,4.3914791,1.2970003,3.0944788,-0.15140471,0.86475908,0.97920799,0.79358387,-1.2465374,1.0,0.54934461,0.84663619,0.84646276,-0.045065124,0.0017206931,-0.07900035,0.0073249019,0.42084379,0.71708424,0.71875191,-0.17330477,-0.0021240429,-0.078452393,0.0078323796,0.47670319,0.49348521,0.06154532,0.066666667,1.989987,1.0,0.01538633,64.992756,2.4956876,70.1,0.0027075916,-0.068421249,0.0077155889,0.10080343,0.0027075916,-0.068421249,0.0077155889,0.10080343
14,14000.0,4.3511208,1.282224,3.0688968,-0.14803841,0.85490718,0.9875957,0.77236328,-1.2465374,1.0,0.60658895,0.88521995,0.88929958,0.045247324,-0.0015877622,-0.030092951,0.011121439,0.4795521,0.75496291,0.7673302,-0.083636802,-0.0019328597,-0.030597211,0.01170379,0.53588998,0.55025107,0.061493225,0.066666667,1.9864508,1.0,0.015373306,65.047816,2.4771108,70.1,0.0069814898,-0.10278892,0.0046626932,0.098222406,0.0069814898,-0.10278892,0.0046626932,0.098222406
15,15000.0,4.3438473,1.2887935,3.0550538,-0.15058608,0.8592873,0.99938584,0.7721262,-1.2465374,1.0,0.60332531,0.88933756,0.89040999,0.030228377,0.0045181773,-0.020994302,-0.0083604979,0.47563759,0.76077538,0.764752,-0.098614622,0.0052925906,-0.019751983,-0.0064823304,0.53264804,0.54631485,0.061516536,0.066666667,1.9748188,1.0,0.015379134,65.023168,2.4833833,70.1,-0.0076635132,-0.092276161,-0.00023420455,0.082369304,-0.0076635132,-0.092276161,-0.00023420455,0.082369304
16,16000.0,4.3198228,1.2862127,3.0336102,-0.15250078,0.85756657,0.99616089,0.7713426,-1.2465374,1.0,0.54419504,0.84376531,0.8559755,-0.06715571,0.0014273414,0.082445421,0.0043988296,0.41676301,0.716032,0.72776443,-0.19350741,-0.00043470511,0.080019253,0.0046757571,0.4735895,0.48736855,0.061534119,0.066666667,1.9672852,1.0,0.01538353,65.004587,2.5020424,70.1,-0.011189218,-0.092888383,0.0058867053,0.084095693,-0.011189218,-0.092888383,0.0058867053,0.084095693
17,17000.0,4.3674305,1.2948804,3.0725501,-0.14524667,0.86334569,1.0161825,0.76824678,-1.2465374,1.0,0.56167987,0.8619287,0.86014448,-0.037033577,-0.0057013568,0.024370599,-0.015791768,0.43338908,0.73183308,0.73331512,-0.16498097,-0.0069857744,0.026116333,-0.013627796,0.49135771,0.50371124,0.06155814,0.066666667,1.9531612,1.0,0.015389535,64.979221,2.5112702,70.1,0.0049519419,-0.094098868,0.014067963,0.097619669,0.0049519419,-0.094098868,0.014098797,0.097296659
18,18000.0,4.3110664,1.2701816,3.0408848,-0.15079634,0.84687803,0.99632238,0.75389044,-1.2465374,1.0,0.6034528,0.88621726,0.88617698,0.037964151,0.0063782257,0.0034962703,-0.022893416,0.47760906,0.75680611,0.7624805,-0.086459439,0.0037799516,0.002954279,-0.025892672,0.53444475,0.5466171,0.061520319,0.066666667,1.9490308,1.0,0.01538008,65.019169,2.4870907,70.1,-0.0086033108,-0.10189795,0.001286743,0.087585214,-0.0086033108,-0.10189795,0.001286743,0.087585214
19,19000.0,4.3497334,1.2938831,3.0558503,-0.1487905,0.86268073,0.99530854,0.78017601,-1.2465374,1.0,0.54810794,0.84299999,0.85349143,-0.052167611,0.0050688047,-0.070603708,-0.0062067836,0.41991596,0.7147391,0.72693093,-0.18192215,0.0047401142,-0.069982624,-0.0061880608,0.47669382,0.49133007,0.061527454,0.066666667,1.9405578,1.0,0.015381863,65.011629,2.499696,70.1,0.001811016,-0.11860355,-0.00075863136,0.077258004,0.001811016,-0.11860355,-0.00075863136,0.077258004
