,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0.0,5.445515,0.0,5.445515,-0.063962953,0.0,0.0,0.0,-9.8385857,8.0,-0.98929677,-0.23227437,-0.232287,-2.5033289,2.0779067e-17,-3.78261e-05,-2.3900827e-05,-0.98929677,-0.98929677,0.068978418,0.075,3.7330143,0.5,0.0076642686,65.237797,2.3811016,70.1,-1.1856506e-17,-0.001453366,-0.00036528913,0.0022869456,-9.3081098e-15,-5.9060971
1,1000.0,6.9645871,1.2125257,5.7520614,-0.02686268,0.80839637,0.99914577,0.67647321,-9.8385857,8.0,-0.94309472,-0.42081245,-0.40762126,-2.0008505,-0.0013481009,-0.0081657039,-0.00054369717,-1.0058386,-1.007225,0.069141605,0.075,3.416492,0.5,0.0076824005,65.083824,2.4612483,70.1,0.00067760783,-0.0088639398,-0.00077583102,0.0053628936,0.95134817,-3.1371067
2,2000.0,6.4358394,1.2662775,5.1695619,-0.038793906,0.84423294,1.0166041,0.72503121,-9.8385857,8.0,-0.85802711,-0.42885959,-0.41689098,-1.7283308,0.00015780182,-0.024468456,-0.0025649989,-0.92527479,-0.92327794,0.069127398,0.075,3.1853865,0.5,0.007680822,65.097199,2.4502654,70.1,-0.00014154273,-0.0025276554,-0.0010539529,0.0075574396,1.5743154,-4.6496971
3,3000.0,5.9538484,1.2569856,4.6968628,-0.045286113,0.83803798,1.0037791,0.7234237,-9.8385857,8.0,-0.74579899,-0.39230062,-0.39767382,-1.4474225,0.0039896926,0.0011058864,0.010977762,-0.81289757,-0.81022664,0.069123053,0.075,2.9989066,0.5,0.0076803392,65.101292,2.44906,70.1,-0.0002903146,-0.0018523304,-0.00013728148,0.011471664,0.097958098,-2.1166608
4,4000.0,5.5687502,1.2571864,4.3115638,-0.052579008,0.83817188,1.0029201,0.7242447,-9.8385857,8.0,-0.67577187,-0.39082675,-0.39760187,-1.238887,-0.00096243613,-0.016024034,0.00060761127,-0.7429466,-0.74014439,0.069129953,0.075,2.849469,0.5,0.0076811059,65.094793,2.449097,70.1,-0.0017875673,-0.01055089,0.00083671266,0.0090161474,-0.26267583,-0.84797996
5,5000.0,5.2547265,1.2674311,3.9872954,-0.064426308,0.84500207,1.0108108,0.7303417,-9.8385857,8.0,-0.56984134,-0.35525791,-0.34615304,-1.0081131,0.0020248037,0.0082019117,-0.014257435,-0.63758157,-0.63472032,0.069115273,0.075,2.719481,0.5,0.0076794748,65.108619,2.4506727,70.1,-0.00060124685,-0.0096956469,-0.0017170562,0.017744544,0.58986709,-2.4352662
6,6000.0,5.0080784,1.2738049,3.7342735,-0.073390034,0.84925148,0.99736825,0.74683455,-9.8385857,8.0,-0.55111259,-0.3647352,-0.37360092,-0.91500166,-0.00043885977,0.0074975768,-0.0012022257,-0.62038256,-0.61512877,0.069125636,0.075,2.6147414,0.5,0.0076806262,65.098859,2.4632721,70.1,-0.0007353543,-0.015479095,-0.0053798256,0.022128642,0.41285925,-2.8754047
7,7000.0,4.8063366,1.2750495,3.5312871,-0.084328616,0.85008127,1.008719,0.74038376,-9.8385857,8.0,-0.50259649,-0.35998925,-0.35822284,-0.78957738,-0.0020362755,-0.022068261,-0.009680655,-0.57126814,-0.56734121,0.069118706,0.075,2.5347346,0.5,0.0076798562,65.105386,2.4491376,70.1,0.00071419281,-0.019427382,-0.0031389171,0.019545288,-0.41433565,-1.294654
8,8000.0,4.6276068,1.2710455,3.3565613,-0.09716977,0.8474118,0.99712398,0.74389065,-9.8385857,8.0,-0.45258938,-0.35023677,-0.3521077,-0.65542366,0.00090718276,-0.028995998,-0.0245724,-0.5215863,-0.51658987,0.069122661,0.075,2.447905,0.5,0.0076802957,65.10166,2.4612395,70.1,-0.0035690783,-0.019541577,-0.0048727581,0.023845816,0.022774469,-0.316658
9,9000.0,4.4891082,1.2809064,3.2082018,-0.10880881,0.85398609,1.0144156,0.74304907,-9.8385857,8.0,-0.38084216,-0.32565666,-0.31857246,-0.49829737,0.0021704384,-0.027893089,-0.015668596,-0.44976102,-0.44595252,0.069118581,0.075,2.3860348,0.5,0.0076798423,65.105503,2.4437898,70.1,0.0026671979,-0.020271306,-0.0018503532,0.037691289,0.2919637,0.566123
10,10000.0,4.3709846,1.2854305,3.0855541,-0.12466157,0.85700235,1.0089141,0.75196001,-9.8385857,8.0,-0.35910108,-0.32440285,-0.3117076,-0.4411928,-0.00076962729,0.0014823177,-0.014628643,-0.42884645,-0.42385833,0.069115598,0.075,2.3267191,0.5,0.0076795109,65.108313,2.4463943,70.1,-0.0049455906,-0.038220982,0.00071014342,0.047561428,1.026825,-1.447074
11,11000.0,4.2754597,1.2591423,3.0163173,-0.13736732,0.8394759,0.98746134,0.73714891,-9.8385857,8.0,-0.37554188,-0.3455769,-0.35549791,-0.42555084,0.0017568828,6.4566038e-05,0.009526673,-0.4439135,-0.43892218,0.069147551,0.075,2.2754033,0.5,0.0076830612,65.078227,2.4500785,70.1,-0.0013377931,-0.047959938,0.0032362724,0.057621875,-0.2653076,-2.5576817
12,12000.0,4.2256504,1.2702441,2.9554063,-0.14351281,0.84687754,1.0036485,0.73847156,-9.8385857,8.0,-0.30786524,-0.31552818,-0.31226728,-0.29580027,-0.0024361899,0.037132996,0.013424158,-0.37635953,-0.37228452,0.069131774,0.075,2.2315138,0.5,0.0076813082,65.093078,2.4613969,70.1,0.00061868292,-0.047026886,-0.010002199,0.068842492,-0.79302263,-0.82562706
13,13000.0,4.2010108,1.2740385,2.9269724,-0.14797829,0.84940722,0.9934407,0.74981598,-9.8385857,8.0,-0.2974805,-0.32455043,-0.32191959,-0.24597146,-0.0039458707,-0.0095592191,0.0040551124,-0.367027,-0.36124458,0.069117843,0.075,2.1939239,0.5,0.0076797603,65.106198,2.4490948,70.1,-0.0017458338,-0.087545965,-0.0055239684,0.078338946,-0.98526029,-0.46892617
14,14000.0,4.1842054,1.2725465,2.9116588,-0.15072254,0.84841255,0.99583864,0.74647349,-9.8385857,8.0,-0.26249531,-0.29856972,-0.30233695,-0.18657927,1.3771921e-05,0.053994434,0.020927248,-0.33173179,-0.32641331,0.069107369,0.075,2.1659682,0.5,0.0076785965,65.116066,2.4419112,70.1,-0.003498067,-0.089092096,0.0013661135,0.073592462,0.48242324,-0.4093866
15,15000.0,4.1548442,1.2652422,2.889602,-0.14807154,0.84354272,1.0025156,0.73361267,-9.8385857,8.0,-0.24019436,-0.30478951,-0.28070686,-0.13508672,-0.0015257877,0.014892045,-0.0041577888,-0.30823799,-0.30454092,0.069120282,0.075,2.1324739,0.5,0.0076800313,65.103901,2.4502851,70.1,-0.0028379511,-0.090281336,-0.0085657244,0.086154893,-0.29367042,-0.1379311
16,16000.0,4.162815,1.2756703,2.8871448,-0.14900255,0.85049516,1.0077513,0.74175377,-9.8385857,8.0,-0.26432106,-0.30243754,-0.3156172,-0.17490845,0.0014676433,-0.015481031,-0.011390111,-0.33311978,-0.32900368,0.069124867,0.075,2.1175755,0.5,0.0076805408,65.099582,2.4474852,70.1,0.0071112574,-0.097391024,-0.004172436,0.086989541,-1.0151025,-2.6157555
17,17000.0,4.1488951,1.281346,2.8675492,-0.15300141,0.85427916,1.0000929,0.75345646,-9.8385857,8.0,-0.21300794,-0.2946286,-0.26482105,-0.079574158,0.0047404807,-0.0078828528,-0.0027660974,-0.2828921,-0.27719899,0.069111715,0.075,2.0989481,0.5,0.0076790795,65.111971,2.4491972,70.1,-0.0058759698,-0.1066898,-0.0077567717,0.10205118,0.52051652,0.0089437175
18,18000.0,4.1638694,1.2869999,2.8768695,-0.15280216,0.85804867,1.0101656,0.75286441,-9.8385857,8.0,-0.21368875,-0.28470479,-0.28702547,-0.069335982,0.0019328644,0.049686803,0.003371173,-0.283518,-0.27852632,0.069117647,0.075,2.0699409,0.5,0.0076797386,65.106383,2.451473,70.1,-0.0034240056,-0.089028979,-0.0048462277,0.093877175,1.2111219,0.38917059
