,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,100000.0,4.2672254,1.2747723,2.9924531,-0.17166747,0.84993888,1.0072038,0.75207802,-1.2465374,1.0,1.3268891,1.8706688,1.8786277,0.2313708,0.0073781369,0.082317653,-0.033211289,1.069618,1.6103129,1.6203642,-0.021823161,0.0034169797,0.08152008,-0.038549528,1.1866572,1.2098499,0.4421998,0.066666667,1.2572208,0.1,0.011054995,9.0456847,2.4759524,34.413227,-0.00099170063,-0.10756807,0.0001000161,0.18443058,-0.00099170063,-0.10756807,0.0001000161,0.18443058
1,101000.0,4.3608666,1.3758958,2.9849708,-0.17640259,0.91736169,1.0688856,0.82309032,-1.2465374,1.0,1.3372073,1.8541491,1.8902234,0.26724951,-0.00117,-0.058229057,0.028388673,1.0595277,1.59741,1.6257382,-0.044565073,-0.0040735833,-0.060388679,0.02252619,1.1837345,1.2130006,0.49643279,0.066666667,1.1763902,0.1,0.01241082,8.0574855,2.5045638,34.413227,-1.8912439e-06,-0.15616011,0.0084137327,0.16474876,-1.8912439e-06,-0.15616011,0.0084137327,0.16474876
2,102000.0,4.4708059,1.5209676,2.9498383,-0.23624518,1.0140866,1.3151465,0.82664062,-1.2465374,1.0,1.6752273,2.1323075,2.1617155,0.73165897,-0.0099389853,-0.095149364,0.022966931,1.3682697,1.8429827,1.8765249,0.38530151,-0.0096812434,-0.088795235,0.023191525,1.5210925,1.5224045,0.7638581,0.066666667,1.1055063,0.1,0.019096452,5.2365747,2.4895364,34.413227,0.012698273,-0.28364726,0.00057043098,0.30104873,0.012698273,-0.28364726,0.00057043098,0.30104873
3,103000.0,4.4492042,1.444425,3.0047792,-0.2064626,0.96305271,1.1978291,0.81690603,-1.2465374,1.0,1.4248914,1.9632558,1.9503755,0.36104304,0.00018514704,-0.053702183,-0.032059307,1.1333815,1.6832229,1.6754342,0.041487299,0.0014901248,-0.062214833,-0.03013414,1.2725717,1.2857012,0.72668965,0.066666667,1.1133825,0.1,0.018167241,5.5044131,2.4851391,34.413227,-0.00083790519,-0.21579784,0.012071831,0.18705618,-0.00083790519,-0.21579784,0.012071831,0.18705618
4,104000.0,4.3426326,1.338288,3.0043446,-0.16886211,0.8922872,1.0968709,0.76494446,-1.2465374,1.0,1.2476391,1.8227876,1.8244607,0.095668808,0.015932403,-0.077210585,-0.0036622826,0.97754935,1.5530218,1.5565127,-0.17688642,0.012721136,-0.08239514,-0.0045874824,1.105008,1.1201804,0.54643744,0.066666667,1.2045619,0.1,0.013660936,7.3201427,2.5148071,34.413227,-0.012195336,-0.14908672,-0.010089138,0.16176582,-0.012195336,-0.14908672,-0.010089138,0.16176582
5,105000.0,4.3464319,1.3179467,3.0284851,-0.17377746,0.87872487,1.0682402,0.76077042,-1.2465374,1.0,1.3251053,1.8642026,1.8655029,0.24561053,0.016021715,-0.071498708,0.027178156,1.0591208,1.5988091,1.602775,-0.024221553,0.014666071,-0.065967989,0.028226031,1.1832526,1.2009736,0.540633,0.066666667,1.2166568,0.1,0.013515825,7.3987345,2.508056,34.413227,-0.0060159467,-0.16967515,0.0067128401,0.15632892,-0.0060159467,-0.16967515,0.0067128401,0.15632892
6,106000.0,4.4083763,1.4128833,2.995493,-0.19490315,0.94202264,1.1820791,0.79258177,-1.2465374,1.0,1.4603467,1.9887466,2.0041325,0.38816091,0.025133838,0.071909824,0.011439039,1.1752024,1.7113665,1.7294087,0.084832004,0.024175135,0.073868827,0.0062425641,1.3125624,1.3229866,0.68200634,0.066666667,1.1843742,0.1,0.017050158,5.8650481,2.4842754,34.413227,-0.0028666117,-0.18920568,0.0066481493,0.19592146,-0.0028666117,-0.18920568,0.0066481493,0.19592146
7,107000.0,4.372037,1.412227,2.95981,-0.22380049,0.94158509,1.229771,0.76214967,-1.2465374,1.0,1.5301833,2.0600515,2.049528,0.4809702,-0.0024138839,-0.012442529,0.027291183,1.2451714,1.7711621,1.7708328,0.19351926,0.0015830548,-0.012687953,0.027743526,1.3880733,1.3872813,0.77517529,0.066666667,1.1830112,0.1,0.019379382,5.1601232,2.4950415,34.413227,0.0046796003,-0.21546903,-0.0022783216,0.31872649,0.0046796003,-0.21546903,-0.0022783216,0.31872649
8,108000.0,4.3115215,1.331225,2.9802965,-0.17318272,0.887578,1.0912516,0.76080162,-1.2465374,1.0,1.3132453,1.8833985,1.8891582,0.16717935,-0.0054502477,0.064864557,-0.018716351,1.0445811,1.620895,1.624579,-0.11173075,-0.0027765055,0.061475131,-0.022211654,1.1713868,1.1864396,0.61998836,0.066666667,1.2304148,0.1,0.015499709,6.4517341,2.477493,34.413227,0.0068306363,-0.15146185,0.023709973,0.18629183,0.0068306363,-0.15146185,0.023709973,0.18629183
9,109000.0,4.3165377,1.3365246,2.9800131,-0.18209588,0.89111144,1.0854322,0.77016435,-1.2465374,1.0,1.3822465,1.9234545,1.9358373,0.28744766,0.015805826,0.071832575,0.038227468,1.1125127,1.6551918,1.6597277,0.022618463,0.01776735,0.074410669,0.039593432,1.2386422,1.256117,0.58989091,0.066666667,1.2683981,0.1,0.014747273,6.7809148,2.4935718,34.413227,-0.005391231,-0.15126018,-0.0038851338,0.17381058,-0.005391231,-0.15126018,-0.0038851338,0.17381058
10,110000.0,4.3599272,1.3757405,2.9841867,-0.18815619,0.91725819,1.1371407,0.78038551,-1.2465374,1.0,1.3947006,1.9401946,1.9578002,0.2861071,-0.0042971936,0.096556475,0.054943958,1.1170524,1.6622712,1.6861964,0.00268955,-0.004500241,0.09874293,0.057049123,1.2491905,1.2625625,0.67272939,0.066666667,1.2490178,0.1,0.016818235,5.9459273,2.4979943,34.413227,0.0021107421,-0.19613928,0.0072434073,0.19867306,0.0021115431,-0.19609628,0.0072434073,0.19867306
11,111000.0,4.342502,1.3968231,2.9456789,-0.21679483,0.93131471,1.2121342,0.7564683,-1.2465374,1.0,1.4358148,1.9814053,1.9953517,0.33068729,-0.0021806747,-0.034747794,-0.018682068,1.1539117,1.6959786,1.7189764,0.046780104,-0.004357827,-0.037147762,-0.021971689,1.2947642,1.2949622,0.74729608,0.066666667,1.2534923,0.1,0.018682402,5.3526308,2.4863306,34.413227,0.0049968039,-0.26499394,0.0059008288,0.19900253,0.0049968039,-0.26499394,0.0059071209,0.19853276
12,112000.0,4.3207992,1.3435524,2.9772468,-0.18365846,0.89579712,1.0994392,0.7690418,-1.2465374,1.0,1.2919323,1.8608396,1.8758834,0.13907407,0.014838167,-0.046714301,0.007488577,1.0207802,1.5955886,1.6046744,-0.13792234,0.010848613,-0.049837257,0.012659389,1.1485373,1.1641752,0.66207041,0.066666667,1.3015371,0.1,0.01655176,6.0416535,2.487606,34.413227,-0.003024938,-0.16655623,4.3205486e-05,0.20491011,-0.003024938,-0.16655623,4.3205486e-05,0.20491011
13,113000.0,4.3034032,1.3316455,2.9717576,-0.19005618,0.88785839,1.0794915,0.76858573,-1.2465374,1.0,1.3969528,1.9425514,1.9431287,0.30517834,0.0096909357,0.026189949,0.015615298,1.1282037,1.6709826,1.6708039,0.042824464,0.0070843345,0.027543165,0.014853999,1.2536428,1.2715136,0.62200997,0.066666667,1.3211132,0.1,0.015550249,6.4307651,2.4959716,34.413227,-0.019230144,-0.16794172,0.0028899082,0.12500605,-0.019230144,-0.16794172,0.0028899082,0.12500605
14,114000.0,4.2922632,1.3524223,2.9398409,-0.1900909,0.90171104,1.1126592,0.77040357,-1.2465374,1.0,1.3392988,1.9014182,1.9012728,0.21520533,-0.022360628,0.0060742728,-0.013537266,1.0663566,1.6303142,1.6285255,-0.059770067,-0.018353577,0.010664598,-0.010607789,1.1956499,1.2100055,0.66607343,0.066666667,1.3627303,0.1,0.016651836,6.0053439,2.4922144,34.413227,-0.0075748955,-0.19327205,0.0077012865,0.19126345,-0.0075748955,-0.19327205,0.0077012865,0.19126345
15,115000.0,4.2952851,1.3402343,2.9550508,-0.21306795,0.89358485,1.1258514,0.74899024,-1.2465374,1.0,1.3550092,1.9154644,1.9193849,0.23017821,-0.020924413,0.066119546,-0.036811187,1.0845267,1.6474139,1.6508258,-0.044659624,-0.020867743,0.067018547,-0.034280625,1.215353,1.2241829,0.73452619,0.066666667,1.3654575,0.1,0.018363155,5.4456874,2.5153884,34.413227,0.0078812926,-0.26136602,-0.0010763967,0.23868112,0.0078812926,-0.26136602,-0.0010721695,0.23867455
16,116000.0,4.2869228,1.3194419,2.9674809,-0.208028,0.87972176,1.0746448,0.75839737,-1.2465374,1.0,1.4004214,1.9408816,1.9520965,0.30828618,-0.0026848169,-0.15891688,0.021579371,1.1341352,1.6724259,1.6878385,0.042141221,-0.0036581485,-0.1633392,0.021030901,1.2590112,1.2755455,0.70030157,0.066666667,1.3627868,0.1,0.017507539,5.711825,2.494815,34.413227,0.0017602399,-0.19173028,0.012199014,0.20318584,0.0017602399,-0.19173028,0.012199014,0.20318584
