,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,300000.0,9.8101487,1.3365699,8.4735787,-0.221382,0.89118799,1.0020586,0.74389535,-2.3668639,2.0,4.5691375,6.8655749,6.8628135,-0.020975913,0.022135072,-0.13791103,-0.014168915,4.4173697,4.2969322,0.32836619,0.15,1.6936285,0.5,0.018242566,27.408424,2.8076785,33.122144,-0.0062362075,-0.16399775,31.45363,380.06838,1.8283127,0.19456837
1,301000.0,9.8086749,1.3624856,8.4461893,-0.23514236,0.90846782,1.0045216,0.78090982,-2.3668639,2.0,4.7843857,6.9586408,7.0540555,0.34046074,-0.0055604835,-0.034160565,-0.0061449218,4.6250663,4.5115113,0.3413052,0.15,1.7068246,0.5,0.0189614,26.369361,2.8033582,33.122144,-0.00024405177,-0.15824365,0.019312986,0.27685158,-0.73912839,0.54036153
2,302000.0,9.7941486,1.3532986,8.4408501,-0.23172911,0.90234218,1.0043805,0.76681361,-2.3668639,2.0,4.7882243,7.0031355,7.0344744,0.32706309,-0.0061967119,0.17394511,-0.00034676329,4.6317809,4.5153883,0.35138937,0.15,1.6988401,0.5,0.019521632,25.612613,2.7867244,33.122144,-0.00093976047,-0.17133925,-0.022080233,0.26639823,-2.1412849,-4.3805876
3,303000.0,9.7305783,1.3239379,8.4066404,-0.2526211,0.88276528,0.98743627,0.74372418,-2.3668639,2.0,4.843022,7.1030463,7.0421633,0.38385627,-0.00040265064,0.0069632406,-0.047090917,4.6912891,4.5747888,0.35919513,0.15,1.7054885,0.5,0.019955285,25.056019,2.8041923,33.122144,0.0049583303,-0.14928188,-0.0044224294,0.2506844,-0.069818852,1.2694019
4,304000.0,9.7828899,1.3405343,8.4423556,-0.24288365,0.89383134,0.99779552,0.75573544,-2.3668639,2.0,4.8760792,7.0538801,7.106138,0.46821939,0.021087255,-0.15288671,-0.15279636,4.7218958,4.6050319,0.36577211,0.15,1.7067934,0.5,0.020320673,24.605485,2.8053298,33.122144,0.0082044941,-0.14363545,0.015559432,0.30041118,3.2326282,-5.0752087
5,305000.0,9.7756813,1.3483838,8.4272975,-0.25966674,0.89906518,0.9987195,0.76670972,-2.3668639,2.0,4.5760894,6.8547966,6.9354125,-0.061941043,-0.016818117,-0.21244526,0.084678985,4.4196671,4.3047911,0.37243342,0.15,1.7087396,0.5,0.020690745,24.165393,2.8037242,33.122144,0.0022454812,-0.1487731,0.00016439189,0.31050726,2.0576819,-6.2260727
6,306000.0,9.753644,1.3225458,8.4310982,-0.26031402,0.8818371,0.98101647,0.75010764,-2.3668639,2.0,4.7596179,7.0090039,7.0148779,0.25497188,-0.03882356,-0.012327101,-0.056474382,4.6065828,4.4931286,0.37850313,0.15,1.710707,0.5,0.021027952,23.777875,2.8084797,33.122144,0.021048038,-0.14976994,0.037534455,0.23796572,-1.9030972,0.8142912
7,307000.0,9.7215061,1.3280314,8.3934747,-0.26676109,0.88549472,1.006308,0.72496146,-2.3668639,2.0,4.7521467,7.0192321,7.0748487,0.16235925,-0.01123645,-0.089546108,0.051901576,4.6042418,4.4787871,0.38418431,0.15,1.7069416,0.5,0.021343573,23.426256,2.8304673,33.122144,-0.0080044099,-0.18728857,-0.0038150885,0.26578841,3.3363676,-0.63726613
8,308000.0,9.764437,1.3262315,8.4382055,-0.24572622,0.88429461,0.99185077,0.74141251,-2.3668639,2.0,4.9597528,7.1936612,7.1300066,0.55559051,-0.013726228,0.061270194,-0.086650231,4.8084916,4.6903204,0.38741668,0.15,1.7102382,0.5,0.021523149,23.230802,2.8134145,33.122144,0.0053097302,-0.1221845,-0.011142075,0.24673925,-0.80140958,0.59003523
9,309000.0,9.7336436,1.3456852,8.3879584,-0.26502572,0.89726583,1.0103287,0.74705637,-2.3668639,2.0,4.8297955,7.1133906,7.1059366,0.27005928,-0.0050320734,-0.23284059,0.04256392,4.6773829,4.5553437,0.39369605,0.15,1.7089604,0.5,0.021872003,22.860275,2.8294003,33.122144,0.0060371219,-0.16410685,-0.0222419,0.27141501,2.0599441,-1.3832208
