,0,1,2,3
0,0.0,0.0,0.0,0.0
1,0.0701702,0.0,0.0,0.0
2,0.14034,0.0,0.0,0.0
3,0.210511,0.0,0.0,0.0
4,0.280681,0.0,0.0,0.0
5,0.350851,0.0,0.0,0.0
6,0.421021,0.0,0.0,0.0
7,0.491191,0.0,0.0,0.0
8,0.561361,0.0,0.0,0.0
9,0.631532,0.0,0.0,0.0
10,0.701702,0.0,0.0,0.0
11,0.771872,0.0247007,0.0312629,6.32302
12,0.842042,0.0170197,-0.0191561,1.35418
13,0.912212,0.0,0.0,0.0
14,0.982382,0.0,0.0,0.0
15,1.05255,0.0,0.0,0.0
16,1.12272,0.0,0.0,0.0
17,1.19289,0.0,0.0,0.0
18,1.26306,0.0,0.0,0.0
19,1.33323,0.0,0.0,0.0
20,1.4034,0.0,0.0,0.0
21,1.47357,0.0,0.0,0.0
22,1.54374,-0.0100982,-0.00240502,0.569474
23,1.61391,0.0391051,0.0227804,7.54679
24,1.68408,-0.00127194,0.00196787,0.0583589
25,1.75425,-2.18138e-05,-1.39791e-05,0.000130337
26,1.82442,-2.18138e-05,-1.39791e-05,0.000130337
27,1.89459,-2.18138e-05,-1.39791e-05,0.000130337
28,1.96476,-2.18138e-05,-1.39791e-05,0.000130337
29,2.03493,-2.18138e-05,-1.39791e-05,0.000130337
30,2.10511,-2.18138e-05,-1.39791e-05,0.000130337
31,2.17528,-2.18138e-05,-1.39791e-05,0.000130337
32,2.24545,-2.18138e-05,-1.39791e-05,0.000130337
33,2.31562,-0.00252648,0.00438028,0.16473
34,2.38579,-0.00208845,0.0432629,12.9504
35,2.45596,0.0353061,-0.0186013,3.05901
36,2.52613,0.0354778,-0.0030452,2.02001
37,2.5963,0.0401656,-0.00373034,2.03281
38,2.66647,0.0483668,-0.00575227,2.07992
39,2.73664,0.0782767,-0.000725273,2.16814
40,2.80681,0.146913,0.000549248,2.29418
41,2.87698,0.233321,-0.0121312,2.33692
42,2.94715,0.296838,-0.00453205,2.32734
43,3.01732,0.331477,-0.00194147,2.2786
