,0,1,2,3
0,0.0,0.0,0.0,0.0
1,0.057583,0.0,0.0,0.0
2,0.115166,0.0,0.0,0.0
3,0.172749,0.0,0.0,0.0
4,0.230332,0.0,0.0,0.0
5,0.287915,0.0,0.0,0.0
6,0.345498,0.0,0.0,0.0
7,0.403081,0.0,0.0,0.0
8,0.460664,0.0,0.0,0.0
9,0.518247,0.0,0.0,0.0
10,0.57583,0.0,0.0,0.0
11,0.633413,0.0,0.0,0.0
12,0.690996,0.0,0.0,0.0
13,0.748579,-0.00973496,-0.000507659,0.193124
14,0.806162,0.0663507,0.00598081,15.1841
15,0.863745,0.00337179,0.000308639,0.135594
16,0.921328,1.26113e-05,6.54099e-06,2.21161e-05
17,0.978911,0.0,0.0,0.0
18,1.03649,0.0,0.0,0.0
19,1.09408,0.0,0.0,0.0
20,1.15166,0.0,0.0,0.0
21,1.20924,0.0,0.0,0.0
22,1.26683,0.0,0.0,0.0
23,1.32441,0.0,0.0,0.0
24,1.38199,0.0,0.0,0.0
25,1.43958,0.0,0.0,0.0
26,1.49716,2.09682e-05,6.2632e-06,5.94503e-05
27,1.55474,-0.0483077,-0.000198133,3.28066
28,1.61232,0.0489355,-0.00304069,9.01854
29,1.66991,0.00340457,-9.9109e-05,0.245235
30,1.72749,-0.000207557,7.75535e-06,0.0014038
31,1.78507,-0.000211065,-1.70358e-06,0.00129037
32,1.84266,-0.000211065,-1.70358e-06,0.00129037
33,1.90024,-0.000211065,-1.70358e-06,0.00129037
34,1.95782,-0.000211065,-1.70358e-06,0.00129037
35,2.01541,-0.000211065,-1.70358e-06,0.00129037
36,2.07299,-0.000211065,-1.70358e-06,0.00129037
37,2.13057,-0.000211065,-1.70358e-06,0.00129037
38,2.18815,-0.000211065,-1.70358e-06,0.00129037
39,2.24574,-0.00020763,-1.19189e-05,0.00131766
40,2.30332,-0.00236085,0.000883896,0.100929
41,2.3609,-0.0519937,0.00421354,8.93956
42,2.41849,-0.0255242,0.000346513,8.88873
43,2.47607,-0.0631773,-0.000840859,2.54234
44,2.53365,-0.0683593,-0.000878548,2.16624
45,2.59124,-0.061585,-0.00108386,2.19043
46,2.64882,-0.0492152,-0.00049608,2.23425
47,2.7064,-0.0237931,-4.23328e-05,2.29536
48,2.76398,0.01308,-3.79756e-05,2.36439
49,2.82157,0.0625407,-0.00190098,2.4324
50,2.87915,0.122535,-3.53716e-05,2.46135
51,2.93673,0.187258,0.00356353,2.45445
52,2.99432,0.238689,0.00437539,2.40746
53,3.0519,0.275861,0.00436552,2.34972
54,3.10948,0.297102,0.0058614,2.30118
55,3.16707,0.306919,0.00633689,2.28698
56,3.22465,0.315414,0.0105981,2.32413
57,3.28223,0.340978,0.00517393,2.42154
58,3.33981,0.37311,0.00442927,2.6043
59,3.3974,0.423119,0.00999762,2.85995
60,3.45498,0.467729,0.00484897,3.13094
61,3.51256,0.492904,0.00959678,3.39571
62,3.57015,0.499732,0.00973261,3.64922
63,3.62773,0.512652,0.00520848,3.85097
64,3.68531,0.519131,0.0119008,3.99909
65,3.7429,0.512683,0.00658315,4.11013
66,3.80048,0.515007,-0.00145199,4.15585
67,3.85806,0.51896,-4.1688e-05,4.1734
68,3.91564,0.518983,0.00504845,4.14746
69,3.97323,0.51963,0.000478277,4.11155
70,4.03081,0.508552,0.0016675,4.06137
71,4.08839,0.505045,0.00106281,4.00253
72,4.14598,0.501281,-0.00157575,3.92959
73,4.20356,0.497222,0.00250268,3.86665
74,4.26114,0.490426,0.00336223,3.80953
75,4.31873,0.493661,-0.00226839,3.76057
76,4.37631,0.496697,-0.00175917,3.71612
77,4.43389,0.494684,-0.000741596,3.68357
78,4.49147,0.490339,0.00140576,3.65079
79,4.54906,0.49485,-0.00136736,3.64944
80,4.60664,0.497652,-0.00154065,3.64346
81,4.66422,0.496129,-0.00532409,3.64393
82,4.72181,0.500579,-0.00647687,3.6563
83,4.77939,0.490554,-0.0022594,3.66694
84,4.83697,0.494473,-0.00388919,3.68863
85,4.89456,0.499366,-0.00220174,3.72324
86,4.95214,0.498862,-0.00896713,3.74247
87,5.00972,0.493499,-0.00561012,3.76616
88,5.0673,0.492891,0.00347119,3.78629
89,5.12489,0.497012,0.00450277,3.80336
90,5.18247,0.494841,-0.00580246,3.81789
91,5.24005,0.483523,-0.00276426,3.81303
92,5.29764,0.485245,0.00100219,3.82664
93,5.35522,0.486478,0.00207665,3.82699
94,5.4128,0.478253,-0.0021458,3.82518
95,5.47039,0.476097,-0.00382535,3.81388
96,5.52797,0.475961,-0.00154512,3.80165
97,5.58555,0.472399,0.000849378,3.7951
98,5.64313,0.472437,-0.00629567,3.79681
99,5.70072,0.463742,-0.00102622,3.78229
100,5.7583,0.45838,-0.00544451,3.78199
101,5.81588,0.465486,-0.00591638,3.78074
102,5.87347,0.456907,-0.00454378,3.7662
103,5.93105,0.450507,-0.00837403,3.75105
104,5.98863,0.441541,-0.009864,3.74855
105,6.04622,0.448777,-0.00149713,3.74121
106,6.1038,0.440746,-0.00236719,3.74283
107,6.16138,0.435355,-0.00219509,3.73217
108,6.21896,0.430295,0.000153263,3.7306
109,6.27655,0.432629,-0.00978151,3.72211
110,6.33413,0.431873,0.00261007,3.71666
111,6.39171,0.423921,-0.00316533,3.71676
112,6.4493,0.41869,0.000212427,3.70564
113,6.50688,0.410289,-0.00201787,3.70797
114,6.56446,0.409397,-0.00296807,3.70109
115,6.62205,0.410315,-0.00280328,3.70108
116,6.67963,0.401525,0.00251181,3.6948
117,6.73721,0.395368,-0.00444008,3.69334
118,6.79479,0.388011,-0.00389893,3.68268
119,6.85238,0.382815,0.000729697,3.68145
120,6.90996,0.378016,-0.00751596,3.66898
121,6.96754,0.37567,-0.00109967,3.66861
122,7.02513,0.371164,-0.005395,3.66372
123,7.08271,0.359008,0.00188872,3.6536
124,7.14029,0.358727,-0.00127483,3.64012
125,7.19788,0.350354,0.000892652,3.64805
126,7.25546,0.338693,0.00172787,3.64315
127,7.31304,0.328728,-0.00284744,3.62682
128,7.37062,0.330018,0.00160785,3.6224
129,7.42821,0.321759,-0.00662811,3.60552
130,7.48579,0.311668,-0.0105006,3.60337
131,7.54337,0.315183,-0.00277674,3.59516
132,7.60096,0.30775,-0.000543596,3.589
133,7.65854,0.295256,0.00178985,3.58075
134,7.71612,0.294818,-0.00705485,3.56854
135,7.77371,0.281809,-0.00146237,3.56224
136,7.83129,0.282387,-0.00286442,3.5493
137,7.88887,0.278823,0.0021887,3.54612
138,7.94645,0.266296,-0.00113908,3.53467
139,8.00404,0.262146,-0.000438086,3.52471
140,8.06162,0.255104,-0.0135365,3.51399
141,8.1192,0.253,0.00104972,3.50683
142,8.17679,0.242624,-0.000661821,3.51382
143,8.23437,0.248114,-0.00164982,3.50169
144,8.29195,0.238767,-0.00791529,3.49897
145,8.34954,0.232594,0.00162132,3.48891
146,8.40712,0.229822,-0.00104801,3.47904
147,8.4647,0.221778,-0.00350542,3.48269
148,8.52229,0.234974,-0.00647801,3.4788
149,8.57987,0.223879,-0.0052548,3.47749
150,8.63745,0.221991,-0.000580454,3.47112
151,8.69503,0.219101,-0.00271045,3.47043
152,8.75262,0.218123,0.000979909,3.47314
153,8.8102,0.217268,-0.0058551,3.46871
154,8.86778,0.215844,-0.00232183,3.47421
155,8.92537,0.212962,-0.00255444,3.47173
156,8.98295,0.222908,-0.0075327,3.46538
157,9.04053,0.222919,-0.00644949,3.47607
158,9.09812,0.222851,-0.00656808,3.47175
159,9.1557,0.225219,-0.00280645,3.47586
160,9.21328,0.219423,-0.0020013,3.48201
161,9.27086,0.233952,-0.00532525,3.48367
162,9.32845,0.237626,0.000928223,3.49278
163,9.38603,0.236332,-0.011283,3.50129
164,9.44361,0.244936,-0.00400904,3.5053
165,9.5012,0.245172,0.00244445,3.51827
166,9.55878,0.249604,-0.00300274,3.52895
167,9.61636,0.254929,-0.00472531,3.52536
168,9.67395,0.26155,-0.00216751,3.52438
169,9.73153,0.263843,0.0031081,3.54352
170,9.78911,0.269472,-0.00594928,3.54889
171,9.84669,0.278753,-0.00360023,3.56449
172,9.90428,0.282961,0.00103286,3.56525
173,9.96186,0.291201,-0.000785389,3.58365
174,10.0194,0.297983,-0.00156473,3.59075
175,10.077,0.307086,-0.00381744,3.59771
176,10.1346,0.31248,-0.00751336,3.60991
177,10.1922,0.323904,-0.00508618,3.61741
178,10.2498,0.32136,0.0011208,3.62223
179,10.3074,0.331941,-0.00236783,3.63886
180,10.3649,0.335879,0.00748649,3.6449
181,10.4225,0.335617,-0.00407134,3.65735
182,10.4801,0.351197,-0.00186856,3.65177
183,10.5377,0.354694,-0.00176673,3.66849
184,10.5953,0.36357,-0.00609892,3.6698
185,10.6529,0.365491,-0.00311537,3.67623
186,10.7104,0.379081,-0.00503498,3.68963
187,10.768,0.380305,-0.00277709,3.69205
188,10.8256,0.388633,-0.00388504,3.69644
189,10.8832,0.39263,-0.00113829,3.70969
190,10.9408,0.399113,-0.0010045,3.71702
191,10.9984,0.401082,-0.00730293,3.71373
192,11.0559,0.411645,-0.00147368,3.71677
193,11.1135,0.412473,-0.00533607,3.71793
194,11.1711,0.420127,-0.000654961,3.72219
195,11.2287,0.420474,-0.00311771,3.7253
196,11.2863,0.426276,-0.0017474,3.73559
197,11.3439,0.429053,-0.00577185,3.73455
198,11.4014,0.433501,-0.001266,3.73031
199,11.459,0.443232,-0.00246179,3.7266
200,11.5166,0.44373,-0.0104194,3.7476
201,11.5742,0.449862,-0.00974782,3.74555
202,11.6318,0.446542,-0.0128552,3.75387
203,11.6894,0.458966,-0.00419672,3.75987
204,11.7469,0.456315,-0.00815199,3.772
205,11.8045,0.461896,-0.00877087,3.77147
206,11.8621,0.459128,-0.0028075,3.79134
207,11.9197,0.469441,-0.00500647,3.78778
208,11.9773,0.473822,-0.0107312,3.81438
209,12.0348,0.469017,-0.00234445,3.8201
210,12.0924,0.475139,-0.00198991,3.82393
211,12.15,0.478268,0.000584035,3.82943
212,12.2076,0.484078,-0.00426626,3.83408
213,12.2652,0.485921,-0.00822149,3.82704
214,12.3228,0.49127,-0.00470638,3.83353
