,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,300000.0,4.2854583,1.2582853,3.027173,-0.12923353,0.83929953,1.0160894,0.75817381,-9.8765432,8.0,2.7633846,4.0967412,4.1618784,0.03153412,0.0055799525,-0.24019656,-0.04796204,2.5951824,2.6591164,0.12443755,0.05,1.6280553,0.5,0.020739591,24.108479,2.4979209,29.186165,-0.012257376,-0.071776817,0.0050028598,0.040503126,-0.056264758,3.4572191
1,301000.0,4.5059363,1.5157018,2.9902345,-0.16982688,1.0110011,1.1146211,0.9638525,-9.8765432,8.0,3.3745061,4.5476489,4.4810103,1.0948592,-0.0045236506,0.20824066,-0.10084113,3.1606738,3.2601269,0.16213621,0.05,1.6166195,0.5,0.027022702,18.502961,2.4761073,29.186165,0.006652735,-0.056983423,0.06662119,1.1904386,2.5060555,2.1962106
2,302000.0,4.2935826,1.3605972,2.9329854,-0.19287774,0.90754345,1.0030147,0.86408421,-9.8765432,8.0,3.4407919,4.5873579,4.5965533,1.1384647,0.0038887518,0.076850723,-0.052104975,3.2490934,3.3378655,0.1962667,0.05,1.6177237,0.5,0.032711116,15.285324,2.4820452,29.186165,-0.00011469977,-0.057141109,-0.020202385,0.89764352,2.7958673,1.8339169
3,303000.0,4.3267627,1.4302746,2.8964881,-0.23261896,0.95401959,1.0991413,0.88763049,-9.8765432,8.0,3.5491878,4.6441121,4.6723782,1.3310731,0.0013391962,0.12140902,-0.23596331,3.3522655,3.4363971,0.23743157,0.05,1.6056084,0.5,0.039571929,12.635219,2.4878856,29.186165,-0.012581564,-0.090518244,-0.0189118,0.96436886,-3.8607467e-05,-4.5956508
4,304000.0,4.2196566,1.3417927,2.877864,-0.21926256,0.8950005,1.0138097,0.84073663,-9.8765432,8.0,3.2358474,4.4403745,4.4059458,0.86122191,-0.015459383,0.17371803,0.09857477,3.0493286,3.1318132,0.29687488,0.05,1.5284133,0.5,0.049479147,10.105267,2.4924885,29.186165,-0.034939071,-0.13083946,0.044962121,0.89497132,-2.5085808,-6.3115371
5,305000.0,4.1816522,1.2890999,2.8925523,-0.25540374,0.85985344,1.0333213,0.78028018,-9.8765432,8.0,3.3611888,4.513506,4.5747161,0.99534445,-0.042995822,-0.0060696283,0.069611498,3.1880824,3.2551524,0.37906562,0.05,1.3944239,0.5,0.063177604,7.914197,2.5040418,29.186165,-8.5814795e-05,-0.093624603,0.05049826,0.92540526,-3.1993845,-0.71133445
6,306000.0,4.1557928,1.2693598,2.8864331,-0.25994129,0.84668641,1.0436466,0.75623663,-9.8765432,8.0,3.4322178,4.5886154,4.5789934,1.1290445,-0.016874348,-0.017943675,0.036816394,3.2644454,3.3251218,0.48592332,0.05,1.2582091,0.5,0.080987221,6.1738135,2.4807182,29.186165,-0.027072328,-0.1375394,-0.043734589,0.8562671,-4.5502027,2.6660383
7,307000.0,4.1386964,1.3108741,2.8278223,-0.24429218,0.87437722,1.0385473,0.79911585,-9.8765432,8.0,3.3477669,4.5990991,4.6161084,0.82809326,-0.0043301426,0.35804714,0.029072422,3.1704817,3.2411942,0.63749606,0.05,1.1794079,0.5,0.10624934,4.7059115,2.4732488,29.186165,-0.010435464,-0.060354675,-0.0020745756,0.84830272,-0.31338698,1.8487545
8,308000.0,4.0296559,1.2753886,2.7542673,-0.31848249,0.85070772,1.0334655,0.76683036,-9.8765432,8.0,3.8572593,5.014083,4.9387325,1.6189625,-0.0055511757,0.087102539,0.060121185,3.6871367,3.7512081,0.85761113,0.05,1.1617069,0.5,0.14293519,3.4980889,2.4746304,29.186165,-0.024345042,-0.41924474,0.038121412,0.94979071,4.0282959,5.4004086
9,309000.0,3.981423,1.2625488,2.7188742,-0.37922505,0.84214334,1.0278589,0.75689125,-9.8765432,8.0,4.2802864,5.3426086,5.2758535,2.2223971,0.012876914,0.076509211,0.11683837,4.1123688,4.1748105,0.99330816,0.05,1.2044588,0.5,0.16555136,3.0202108,2.465116,29.186165,0.016877752,-1.0142754,0.07418772,0.88274234,1.7729099,2.6425919
10,310000.0,3.9794624,1.2580135,2.7214488,-0.36763901,0.83911827,1.0201007,0.75605315,-9.8765432,8.0,4.5235789,5.5567099,5.5552337,2.4587932,-0.044282515,0.018325058,0.068593648,4.3558473,4.4188991,1.0174868,0.05,1.1977935,0.5,0.16958113,2.9484413,2.4752806,29.186165,-0.058378962,-0.77752298,-0.03737944,1.016411,-1.8742869,11.474478
11,311000.0,3.9024087,1.2433417,2.659067,-0.4016039,0.82933185,0.9903064,0.75551376,-9.8765432,8.0,4.4494504,5.4855655,5.4375121,2.4252736,0.020848585,-0.089269292,-0.018098137,4.2818384,4.347828,1.0196834,0.05,1.1960387,0.5,0.16994723,2.9420897,2.4583434,29.186165,-0.05024079,-0.78739656,-0.0056049042,0.85564354,-0.27211704,9.8185916
12,312000.0,3.919967,1.2931194,2.6268477,-0.41755057,0.8625345,1.0591082,0.77227572,-9.8765432,8.0,4.0129535,5.1371562,5.1416664,1.7600379,-0.045764396,-0.061865318,0.012400945,3.8416228,3.9042709,1.0204193,0.05,1.201451,0.5,0.17006988,2.9399679,2.467635,29.186165,-0.073430832,-0.66582995,0.018032608,0.73503309,-1.5782248,6.4910286
13,313000.0,3.7710561,1.1885254,2.5825307,-0.43850819,0.79276837,0.96590669,0.71329571,-9.8765432,8.0,4.3060892,5.3212702,5.3243281,2.2726693,-0.018017526,0.17696663,-0.015295216,4.1478434,4.2069707,1.0336659,0.05,1.2181146,0.5,0.17227765,2.9022917,2.4740154,29.186165,-0.094362585,-1.1112835,-0.0036187423,0.81333861,-4.3456987,6.5219132
14,314000.0,3.8178949,1.2035012,2.6143937,-0.41138567,0.80275754,0.98947143,0.71701325,-9.8765432,8.0,4.3552,5.4158511,5.4360888,2.2136601,-0.0038334039,0.13239361,0.10891374,4.1961294,4.2536633,1.0350643,0.05,1.2196758,0.5,0.17251071,2.8983708,2.4746164,29.186165,-0.050376804,-0.79680576,0.0074266466,0.85961362,-3.9265913,2.0931428
15,315000.0,3.8591101,1.2565142,2.6025959,-0.44898033,0.83811818,1.0432864,0.74386517,-9.8765432,8.0,3.9750341,5.1599962,5.071915,1.6931911,-0.0081388755,0.10156687,0.1039989,3.8100063,3.867975,1.0351787,0.05,1.2154903,0.5,0.17252979,2.8980503,2.4732562,29.186165,-0.012796038,-0.88068772,-0.052399737,0.90717416,0.19056402,8.9232162
16,316000.0,3.8961785,1.2216759,2.6745026,-0.39389526,0.81488041,0.98791809,0.73547139,-9.8765432,8.0,4.1356092,5.1993148,5.2616422,1.9458707,-0.022383728,-0.11761331,0.096881531,3.9724436,4.0342319,1.0373042,0.05,1.2197231,0.5,0.17288403,2.8921122,2.4801979,29.186165,0.039987801,-1.1065614,0.038314574,0.76329747,1.7201644,5.2857641
17,317000.0,3.8237345,1.2487297,2.5750048,-0.41793088,0.83292579,1.0391958,0.73815915,-9.8765432,8.0,4.1487547,5.2474195,5.2573102,1.9415345,0.028567261,0.023171263,0.13256896,3.9849929,4.0421155,1.0456612,0.05,1.2246604,0.5,0.17427687,2.868998,2.494445,29.186165,0.011848876,-0.8368932,-0.01512091,0.87078756,-1.786139,1.3858493
18,318000.0,3.875585,1.2397066,2.6358784,-0.4050883,0.82690721,1.0335177,0.73197843,-9.8765432,8.0,4.2954174,5.3310263,5.3446614,2.2105644,-0.029580483,-0.005693979,0.08598239,4.1330267,4.1893608,1.0504685,0.05,1.2106269,0.5,0.17507808,2.8558686,2.5060783,29.186165,-0.010279562,-0.97624962,-0.064235815,0.90225895,-2.4909976,7.9073681
19,319000.0,3.8678992,1.2138228,2.6540764,-0.41469329,0.80964224,1.0315502,0.70762433,-9.8765432,8.0,4.1682502,5.2368662,5.1888766,2.0790077,0.00065811405,-0.0095946355,0.12199051,4.0112625,4.0623955,1.0293349,0.05,1.2209044,0.5,0.17155582,2.9145032,2.4606573,29.186165,0.0078519585,-0.89104271,0.026216199,1.1329851,-3.4561831,9.8180886
