,0,1,2,3
0,0.0,0.0,0.0,0.0
1,0.0701,0.0,0.0,0.0
2,0.1402,0.0,0.0,0.0
3,0.2103,0.0,0.0,0.0
4,0.2804,0.0,0.0,0.0
5,0.3505,0.0,0.0,0.0
6,0.4206,0.0,0.0,0.0
7,0.4907,0.0,0.0,0.0
8,0.5608,0.0,0.0,0.0
9,0.6309,0.0,0.0,0.0
10,0.701,0.0,0.0,0.0
11,0.7711,0.0968414,-0.108404,6.02977
12,0.8412,-0.0473551,-0.0113278,1.65498
13,0.9113,0.0,0.0,0.0
14,0.9814,0.0,0.0,0.0
15,1.0515,0.0,0.0,0.0
16,1.1216,0.0,0.0,0.0
17,1.1917,0.0,0.0,0.0
18,1.2618,0.0,0.0,0.0
19,1.3319,0.0,0.0,0.0
20,1.402,0.0,0.0,0.0
21,1.4721,0.0,0.0,0.0
22,1.5422,-0.0147998,0.00667181,0.358929
23,1.6123,0.0263704,-0.135929,8.93924
24,1.6824,0.00607145,-0.00586196,0.0852705
25,1.7525,-9.60095e-06,7.77094e-06,3.89533e-05
26,1.8226,-9.60095e-06,7.77094e-06,3.89533e-05
27,1.8927,-9.60095e-06,7.77094e-06,3.89533e-05
28,1.9628,-9.60095e-06,7.77094e-06,3.89533e-05
29,2.0329,-9.60095e-06,7.77094e-06,3.89533e-05
30,2.103,-9.60095e-06,7.77094e-06,3.89533e-05
31,2.1731,-9.60095e-06,7.77094e-06,3.89533e-05
32,2.2432,-9.60095e-06,7.77094e-06,3.89533e-05
33,2.3133,0.00114902,-0.00785326,0.111087
34,2.3834,0.118885,0.0250031,12.552
35,2.4535,-0.0102204,0.0427042,2.29018
36,2.5236,-0.00639319,0.000558982,0.9055
37,2.5937,-0.00017264,0.000271833,0.907458
38,2.6638,0.00900874,0.00267303,0.926617
39,2.7339,0.00170783,-0.0103919,1.01246
40,2.804,0.00358634,-0.0181934,1.09359
41,2.8741,-0.00303058,-0.0143193,1.17518
42,2.9442,0.0106519,-0.00796577,1.2001
43,3.0143,-0.00149603,-0.0192582,1.13387
44,3.0844,-0.00473422,-0.00985322,1.11296
45,3.1545,-0.00620684,-0.0223742,1.10208
46,3.2246,-0.00754411,-0.0110401,1.08321
47,3.2947,-0.00731961,-0.0225684,1.09348
48,3.3648,-0.0227688,-0.0115683,1.08631
49,3.4349,0.00332696,-0.00834464,1.01458
50,3.505,-0.00806413,-0.0458486,0.969331
51,3.5751,-0.0190245,-0.0418678,0.926889
52,3.6452,-0.0143563,-0.0434575,0.939003
53,3.7153,-0.00984157,-0.0239293,0.974533
54,3.7854,-0.0226918,-0.0131882,0.977659
55,3.8555,-0.00949994,-0.0358404,1.00739
56,3.9256,-0.0235102,-0.0439111,1.03099
57,3.9957,-0.00926734,-0.0295931,1.02336
58,4.0658,-0.0138321,-0.0344684,1.01396
59,4.1359,-0.0124636,-0.0505572,0.99249
60,4.206,0.0181902,-0.0270569,1.01179
61,4.2761,-0.0138522,-0.0405504,0.995338
62,4.3462,-0.0159729,-0.04773,0.99877
63,4.4163,-0.0232203,-0.024892,1.00246
64,4.4864,0.00128567,-0.020736,0.992675
65,4.5565,0.00752884,-0.0343441,1.00248
66,4.6266,-0.0124168,-0.0162959,1.01158
67,4.6967,-0.00708487,-0.0173282,0.984422
68,4.7668,-0.0121762,-0.0301076,1.02209
69,4.8369,-0.00684259,-0.0492835,1.03558
70,4.907,0.000626748,-0.0199969,1.02552
71,4.9771,-0.000345232,-0.026029,1.01805
72,5.0472,-0.00493088,-0.0139519,0.999025
73,5.1173,-0.0180984,-0.0023017,0.994147
74,5.1874,5.63523e-05,-0.0145445,0.985723
75,5.2575,-0.00504565,-0.00430588,1.01161
76,5.3276,0.0066117,-0.00871225,0.996826
77,5.3977,-0.0101792,-0.00136557,1.02011
78,5.4678,0.0071204,-0.00687713,1.00474
79,5.5379,-0.00518335,0.009787,1.00616
80,5.608,-0.00684328,0.00749403,0.997242
81,5.6781,0.0137047,-0.00658665,1.03138
82,5.7482,-0.0186237,0.0121167,1.03247
83,5.8183,0.0181649,-0.00406081,1.02284
84,5.8884,-0.00780129,0.0056102,1.00834
85,5.9585,0.00981993,0.0244509,1.02117
86,6.0286,0.0177436,-0.00510662,1.01703
87,6.0987,0.0218136,0.00668538,1.03827
88,6.1688,0.0110772,0.00213604,0.984232
89,6.2389,0.0230086,-0.0219155,1.01398
90,6.309,0.0109377,-0.00214992,1.02319
91,6.3791,-0.00220939,-0.0032716,1.00841
92,6.4492,0.025804,-0.0117047,1.02258
93,6.5193,0.0338048,-0.00184598,1.01319
94,6.5894,0.0260441,-0.0138757,1.04195
95,6.6595,0.00718213,-0.00143277,1.02237
96,6.7296,0.00770411,-0.00525087,1.02587
97,6.7997,0.00983587,-0.0163733,1.0137
98,6.8698,0.00559344,-0.00791745,0.998604
99,6.9399,0.0182658,0.00109818,1.00898
100,7.01,0.01036,-0.0138076,1.01745
101,7.0801,-0.00264814,-0.0082645,1.01914
102,7.1502,0.0108512,-0.0357987,1.01978
103,7.2203,0.0136081,-0.0302407,1.02203
104,7.2904,-0.0111447,-0.00946272,1.04185
105,7.3605,0.0160998,-0.000577815,1.01915
106,7.4306,-0.0154435,0.00804331,1.00482
107,7.5007,0.00706339,-0.032449,1.02636
108,7.5708,0.0140706,-0.0100718,1.02122
109,7.6409,-0.000512101,0.00741163,1.01438
110,7.711,0.010234,-0.00446499,1.02811
111,7.7811,0.00284643,-0.00131292,1.02756
112,7.8512,-0.00438952,0.00514204,1.02938
113,7.9213,0.00515888,-0.0050927,1.0191
114,7.9914,-0.0239661,0.00107364,1.02843
115,8.0615,-5.67073e-05,0.0202577,1.01093
116,8.1316,-0.0135984,0.0034215,1.0269
117,8.2017,-0.000478362,0.00298138,1.04911
118,8.2718,-0.000164589,0.0182408,1.01569
119,8.3419,0.00309309,0.00652863,1.03261
120,8.412,-0.00683084,0.00697654,1.01626
121,8.4821,-0.00779277,0.0131817,1.00584
122,8.5522,-0.0220559,0.0190472,1.00343
123,8.6223,-0.00957732,-0.00248865,1.0052
124,8.6924,0.00607831,0.0127134,1.03826
125,8.7625,-0.031067,0.00463502,1.03212
126,8.8326,0.00377808,-0.00359733,1.00122
127,8.9027,-0.00996456,-0.00141184,1.0098
128,8.9728,-0.00725538,-0.00474106,1.00026
129,9.0429,0.00749041,-0.00612932,1.01803
130,9.113,0.00341957,-0.00523861,1.01259
131,9.1831,-0.0165942,-0.00538858,1.01771
132,9.2532,0.0087778,-0.0164857,0.972774
133,9.3233,-0.0216731,-0.0198623,1.01686
134,9.3934,-0.0221586,0.0112225,0.998943
135,9.4635,-0.0273452,-0.00683776,1.02415
136,9.5336,-0.00894344,-0.0118757,1.00463
137,9.6037,-0.00394215,0.0134608,1.0254
138,9.6738,-0.0257132,-0.00661736,1.01727
139,9.7439,-0.0174691,-0.0170697,1.03131
140,9.814,-0.00732928,-0.00879633,1.02697
141,9.8841,0.000921411,-0.0087513,1.03043
