,0,1,2,3,4,5,6,7,8,9,10
0,0.06805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.20415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.34025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.47635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.61245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.74855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.88465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.02075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.15685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.29295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.42905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.56515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.70125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.83735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.97345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2.10955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2.24565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2.38175,2.72131e-05,2.72131e-05,2.72131e-05,0.0,0.0,5.44262e-05,0.0,0.0,0.0,5.44262e-05
18,2.51785,0.000517049,0.00152393,0.00155115,0.0022859,0.00176885,0.00179606,0.00234033,0.00223147,0.0018777,0.00209541
19,2.65395,0.0217161,0.0332816,0.0396767,0.0414183,0.0423164,0.0447656,0.0417177,0.041119,0.0422075,0.0438675
20,2.79005,0.149237,0.181511,0.187879,0.191934,0.195499,0.197186,0.197758,0.194655,0.198302,0.194982
21,2.92615,0.226522,0.212208,0.206956,0.206275,0.202384,0.198057,0.199472,0.20135,0.199744,0.200806
22,3.06225,0.0839252,0.0587531,0.0524124,0.0472147,0.0478406,0.0475413,0.0479767,0.0496367,0.0477318,0.0487115
23,3.19835,0.0251721,0.0404115,0.0493646,0.0516505,0.0522764,0.0548072,0.0580456,0.0523036,0.0566849,0.0555964
24,3.33445,0.163578,0.215065,0.235312,0.242632,0.244537,0.248837,0.247285,0.248728,0.249027,0.246469
25,3.47055,0.228019,0.204234,0.200778,0.193186,0.200969,0.203472,0.202792,0.199526,0.198574,0.20184
26,3.60665,0.0814488,0.0788908,0.087218,0.0929055,0.107709,0.110975,0.105043,0.105478,0.107274,0.10556
27,3.74275,0.0744551,0.124527,0.145427,0.153455,0.159986,0.170898,0.16698,0.162762,0.171361,0.167442
28,3.87885,0.169565,0.1869,0.196751,0.198166,0.20584,0.204153,0.203146,0.205214,0.204588,0.20437
29,4.01495,0.169592,0.140964,0.140284,0.138515,0.148965,0.156149,0.151087,0.151795,0.147794,0.148883
30,4.15105,0.0859118,0.0957901,0.117533,0.120282,0.130079,0.143549,0.137834,0.137399,0.139603,0.142569
31,4.28715,0.100607,0.145209,0.160258,0.171225,0.17362,0.181947,0.181239,0.180151,0.182464,0.181838
32,4.42325,0.168694,0.175144,0.174871,0.174354,0.184804,0.185539,0.183171,0.186083,0.180151,0.18924
33,4.55935,0.149917,0.127412,0.132718,0.138977,0.146162,0.158652,0.155414,0.149754,0.157972,0.152938
34,4.69545,0.0967426,0.11971,0.136555,0.142923,0.151033,0.160367,0.160775,0.159306,0.166599,0.162217
35,4.83155,0.115873,0.151196,0.16004,0.166136,0.172858,0.181212,0.178164,0.17479,0.178464,0.184369
36,4.96765,0.157564,0.151359,0.153455,0.155224,0.164013,0.169891,0.163823,0.165782,0.166327,0.169075
37,5.10375,0.133644,0.130133,0.135031,0.137617,0.15008,0.159142,0.15819,0.157727,0.156258,0.160938
38,5.23985,0.10692,0.133725,0.142052,0.152938,0.162489,0.165918,0.164748,0.167796,0.168014,0.173973
39,5.37595,0.127548,0.148584,0.154707,0.160693,0.163959,0.169783,0.173865,0.169647,0.166082,0.177538
40,5.51205,0.151985,0.144583,0.146842,0.149808,0.15868,0.166571,0.163469,0.162245,0.162653,0.167796
41,5.64815,0.127548,0.132854,0.143141,0.146461,0.15272,0.161864,0.164775,0.164367,0.16317,0.172041
42,5.78425,0.114921,0.14042,0.146352,0.156339,0.16151,0.168612,0.167497,0.166544,0.163551,0.180777
43,5.92035,0.133535,0.146407,0.150352,0.158135,0.159523,0.165428,0.169021,0.166925,0.165047,0.175388
44,6.05645,0.140501,0.138841,0.14442,0.148992,0.155849,0.160775,0.167823,0.161374,0.159278,0.172395
45,6.19255,0.127357,0.134705,0.145454,0.154707,0.159632,0.16366,0.172041,0.164068,0.166082,0.177212
46,6.32865,0.120037,0.14325,0.146597,0.1534,0.159333,0.164721,0.169429,0.160938,0.163251,0.180505
47,6.46475,0.132691,0.141345,0.148121,0.156557,0.157618,0.16502,0.164394,0.161809,0.163932,0.174545
48,6.60085,0.137698,0.140256,0.147087,0.154081,0.160966,0.157945,0.170871,0.160149,0.166,0.169701
49,6.73695,0.124636,0.137154,0.150135,0.152611,0.156339,0.159224,0.168367,0.165701,0.16951,0.171987
50,6.87305,0.128174,0.141154,0.145726,0.152121,0.160149,0.165238,0.167279,0.163251,0.167415,0.172041
51,7.00915,0.134242,0.14344,0.147168,0.154026,0.160095,0.160122,0.168694,0.164013,0.167197,0.16834
52,7.14525,0.132746,0.140311,0.148747,0.157346,0.157537,0.160639,0.17049,0.168204,0.166463,0.174436
53,7.28135,0.12635,0.137671,0.14774,0.154707,0.160721,0.159714,0.167796,0.167878,0.167551,0.170817
54,7.41745,0.127575,0.142787,0.14657,0.155931,0.159687,0.165891,0.164149,0.167905,0.162544,0.172967
55,7.55355,0.134514,0.141835,0.150298,0.154135,0.162571,0.164204,0.172313,0.170653,0.166027,0.17762
56,7.68965,0.129344,0.14042,0.150216,0.155169,0.158326,0.157564,0.166,0.173266,0.164313,0.173837
57,7.82575,0.129208,0.140583,0.150053,0.157918,0.162571,0.165428,0.172531,0.173538,0.168585,0.173892
