,0,1,2,3
0,0.0,0.0,0.0,0.0
1,0.5,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0
3,1.5,0.0,0.0,0.0
4,2.0,-4.06227e-06,1.22959e-08,4.41887e-05
5,2.5,-0.0023303,1.47424e-05,1.02949
6,3.0,-0.000354328,0.00297324,1.25197
7,3.5,-0.011818,0.00184185,1.00462
8,4.0,-0.0155789,0.0125656,1.08971
9,4.5,-0.0165128,0.0146046,1.09638
10,5.0,-0.0247494,0.00928441,1.14058
11,5.5,-0.0127889,0.00333615,1.14042
12,6.0,0.00971429,0.00792565,1.15454
13,6.5,0.0224365,0.00605239,1.15739
14,7.0,0.0274864,0.000903117,1.156
15,7.5,0.028764,0.00616711,1.1399
16,8.0,0.0262407,0.0126731,1.12062
17,8.5,0.0227476,0.00133385,1.093
18,9.0,0.0271013,-0.00351262,1.0526
19,9.5,0.0254584,-0.00302012,1.00967
20,10.0,0.0131128,-0.000231785,0.97832
21,10.5,0.00931519,0.00759246,0.934234
22,11.0,0.00330222,0.00975187,0.868281
23,11.5,0.0189279,0.0142441,0.784606
24,12.0,0.0099942,0.00643666,0.702619
25,12.5,0.0176666,0.00255248,0.603335
26,13.0,0.0112047,0.00238244,0.496965
27,13.5,0.0059468,0.00145314,0.396334
28,14.0,0.0039973,0.00461047,0.302724
29,14.5,0.00224846,-0.000559405,0.222533
30,15.0,0.00421919,0.000776186,0.154413
31,15.5,0.0033958,0.00163731,0.102774
32,16.0,0.00223102,0.00269233,0.0654904
33,16.5,0.00101966,-0.000720714,0.0409459
34,17.0,0.00050558,-0.000109718,0.0297546
35,17.5,0.000774152,-4.95944e-05,0.025728
36,18.0,2.83981e-05,-0.00123667,0.0214943
37,18.5,-7.43116e-06,-0.000197534,0.0174077
38,19.0,-0.000357953,-0.000273478,0.0156464
39,19.5,0.000101896,-0.000675344,0.013966
40,20.0,0.000213178,-0.000606125,0.0113152
41,20.5,0.000210698,-7.01468e-05,0.0102302
42,21.0,-0.000558421,-0.000337295,0.00953836
43,21.5,2.89264e-05,4.01045e-07,0.00980521
44,22.0,-0.000488019,-0.000143844,0.00774648
45,22.5,4.20365e-05,-0.000552258,0.00712718
46,23.0,-0.000188763,-0.000199569,0.00497519
47,23.5,-0.000118892,-0.00026338,0.00513905
48,24.0,0.000171743,-5.99082e-05,0.00434472
49,24.5,0.000526891,-3.95998e-05,0.00422274
50,25.0,0.000264704,0.000215167,0.00332814
51,25.5,6.07754e-05,-0.000215874,0.00346322
52,26.0,9.20089e-05,0.000191596,0.00245408
53,26.5,2.66505e-05,1.34275e-05,0.00158239
54,27.0,9.34885e-05,8.23028e-05,0.0012033
55,27.5,-6.79496e-05,-3.88818e-05,0.000502249
56,28.0,-5.34099e-08,-3.99568e-07,1.60672e-06
57,28.5,0.0,0.0,0.0
58,29.0,0.0,0.0,0.0
59,29.5,0.0,0.0,0.0
60,30.0,0.0,0.0,0.0
61,30.5,0.0,0.0,0.0
62,31.0,0.0,0.0,0.0
63,31.5,0.0,0.0,0.0
64,32.0,0.0,0.0,0.0
65,32.5,0.0,0.0,0.0
66,33.0,0.0,0.0,0.0
67,33.5,0.0,0.0,0.0
68,34.0,0.0,0.0,0.0
69,34.5,0.0,0.0,0.0
70,35.0,0.0,0.0,0.0
71,35.5,0.0,0.0,0.0
72,36.0,0.0,0.0,0.0
73,36.5,0.0,0.0,0.0
74,37.0,0.0,0.0,0.0
75,37.5,0.0,0.0,0.0
76,38.0,0.0,0.0,0.0
77,38.5,0.0,0.0,0.0
78,39.0,0.0,0.0,0.0
79,39.5,0.0,0.0,0.0
80,40.0,0.0,0.0,0.0
81,40.5,0.0,0.0,0.0
82,41.0,0.0,0.0,0.0
83,41.5,0.0,0.0,0.0
84,42.0,9.40821e-07,1.00809e-06,3.96655e-06
85,42.5,0.000134336,-3.74759e-05,0.00040486
86,43.0,-2.5179e-05,8.40486e-05,0.000896095
87,43.5,-1.69328e-05,-2.84303e-05,0.00168397
88,44.0,-9.45252e-06,-7.21807e-05,0.00236208
89,44.5,-0.000288094,-0.000111765,0.00302218
90,45.0,0.000367772,9.10278e-05,0.00337783
91,45.5,-0.000321528,-0.000142685,0.00426553
92,46.0,0.000158731,0.00028771,0.00460615
93,46.5,-8.84262e-05,0.000116138,0.00531777
94,47.0,-0.0006471,0.00015782,0.00568216
95,47.5,0.000615725,-0.000597306,0.00663636
96,48.0,-0.000196431,0.000679082,0.00728559
97,48.5,4.1745e-05,0.000571005,0.00914309
98,49.0,0.000107345,0.000235136,0.0106976
99,49.5,0.000394663,-0.000422602,0.0112761
100,50.0,0.000177075,0.000821453,0.0143257
101,50.5,-0.000663275,0.000428714,0.0137622
102,51.0,-0.00052496,-0.000194373,0.0153631
103,51.5,0.000190521,3.79069e-05,0.0176735
104,52.0,0.000101392,0.000855803,0.0202633
105,52.5,-7.40149e-05,0.000256651,0.0266817
106,53.0,-0.0010318,-0.000683481,0.0319712
107,53.5,-0.000529536,-0.000152773,0.0452957
108,54.0,0.000262093,-0.00150194,0.0720941
109,54.5,-0.00182452,0.00487598,0.11431
110,55.0,-0.00488838,0.00322305,0.165449
111,55.5,-0.00337176,0.00319728,0.230837
112,56.0,-0.00264269,0.0141128,0.320745
113,56.5,-0.00374243,0.00962171,0.416725
114,57.0,0.00648929,0.0116026,0.524752
115,57.5,-0.00419847,0.00129122,0.636199
116,58.0,-0.00691868,0.0058737,0.737436
117,58.5,-0.00967883,0.00130448,0.808139
118,59.0,-0.0150767,-0.00281625,0.862645
119,59.5,-0.0186361,0.00235455,0.926016
120,60.0,-0.015348,0.00905816,0.993717
121,60.5,-0.00965616,0.00351284,1.03272
122,61.0,-0.0125932,0.00435387,1.05329
123,61.5,-0.00784814,-0.00338149,1.08816
124,62.0,0.00283444,0.00800712,1.1074
125,62.5,0.000102085,0.00111717,1.11705
126,63.0,0.00747338,-0.0169722,1.11566
127,63.5,0.00888485,-0.0255484,1.13084
128,64.0,0.0185951,-0.0434302,1.13405
129,64.5,0.0156604,-0.0412086,1.13494
130,65.0,0.0219914,-0.0348657,1.11932
131,65.5,0.00692208,-0.0323813,1.0823
132,66.0,0.0114424,-0.029126,1.08017
133,66.5,-0.00104923,-0.0237821,1.00045
134,67.0,-0.000176978,-0.00868473,1.23797
135,67.5,-0.00327335,0.00332934,1.02424
136,68.0,8.78289e-07,-6.7892e-06,3.84629e-05
137,68.5,0.0,0.0,0.0
138,69.0,0.0,0.0,0.0
139,69.5,0.0,0.0,0.0
140,70.0,0.0,0.0,0.0
